Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000
800,1500,1900,2900,3800,4700,14600,9100,12200,13600,14400,16800,20200,25900,32900,36000,31100,41000,41200,45300,49600,53700,56800,64700,79700,77800,113000,82900,88300,99000,102000,106000,113700,119700,127700,132900,173200,156900,162100,162000,235500,387700,219000,199900,327900,238100,277300,309600,275900,264600,276700,973100,308100,308800,304000,348000,341700,352800,361700,400700,421900,404900,393500,415300,471500,478000,455600,483000,496000,502000,585700,539900,551500,568100,591700,608100,638000,761100,650900,660900,682100,851400,788200,745600,740100,762400,801900,776900,809400,876800,883400,866200,953000,1.45E+06,951500,1.61E+06,960600,1.04E+06,1.06E+06,1.50E+06
500,1400,1500,2500,3700,5200,11200,8100,14500,10900,13600,15300,20200,23300,24300,40400,33900,34900,42100,44900,48400,50300,56800,63700,68900,70400,147600,87800,88200,105300,103200,106300,116700,116300,126100,177700,139900,240600,164200,163300,177800,346100,214500,214800,337300,219900,403100,248900,238000,267200,269600,1.09E+06,273900,303900,302000,325500,329600,359700,357800,476500,399600,387000,396500,415600,462700,467100,461900,478100,513700,521400,604400,563600,572000,663000,653700,600900,654600,633900,644600,664100,769500,721700,1.05E+06,773100,762400,756400,748400,794000,875900,877900,832600,879500,901100,1.35E+06,942300,1.61E+06,1.11E+06,987500,1.07E+06,1.11E+06
400,1300,1400,2400,3600,4900,14000,9100,14900,11600,14400,16900,19300,25200,28000,34300,31200,32600,45500,44600,46600,62100,53800,63000,67800,68600,83900,84300,94600,101000,106600,107300,108600,119600,131600,130000,145000,214600,163500,196100,169000,303600,203600,216600,367200,244200,358000,226700,253000,271500,273500,607900,316500,305200,310300,319700,335400,345900,369500,531600,393400,596200,395100,427100,433700,427200,467600,473100,498000,505600,513900,573000,563000,975700,670500,592500,638600,639900,625800,670800,696400,726600,860200,750800,755200,844300,944800,781600,827700,819800,828800,854700,890600,970500,911500,1.17E+06,1.28E+06,1.02E+06,1.05E+06,1.57E+06
400,1100,1600,2400,3500,4300,14600,56100,11000,12600,13900,16300,18900,25600,26600,36600,35200,34700,38300,43600,46500,55800,59000,63100,68800,72700,79200,81800,95300,96600,99900,106400,118200,126600,128200,132900,145900,190400,158700,175000,177700,316300,205500,206700,336100,223700,249300,241600,244200,309100,270500,480800,310400,376900,315200,311300,341600,345800,363600,373400,377300,595300,407600,434900,431300,450400,449800,472100,499100,509700,504100,540400,546200,1.14E+06,568000,604400,646000,631900,640000,660000,685100,741400,807000,741600,772400,830000,956000,797500,792200,828700,969900,877600,967500,898200,935100,1.33E+06,1.05E+06,988700,1.07E+06,1.03E+06
400,1000,1400,2000,3600,5400,13000,8600,12500,12000,15000,16600,20700,23400,25700,33700,31700,36300,39700,43700,44100,53900,57100,58400,69800,72500,81700,102100,93000,91500,102500,111700,121100,127400,135600,138300,154800,160600,174900,177500,176400,304000,212900,236900,362200,220300,429600,239400,250100,258700,304100,497400,294100,476600,311700,325100,361500,350600,375200,381800,371400,405800,416400,427500,409500,455600,464500,461900,502600,499900,521200,579300,559700,935200,573000,625700,603800,604700,656700,677400,700600,713200,766000,732000,772900,762700,997300,815000,808500,875700,984200,852500,1.05E+06,887500,1.01E+06,1.56E+06,1.02E+06,1.01E+06,1.02E+06,1.04E+06
400,900,1300,2100,3900,5000,14900,31100,10600,11900,14400,17100,20400,22600,25800,41700,30400,34800,38700,41000,44700,51700,64100,66000,65500,85100,77100,95900,92900,99600,111000,115600,110500,132800,129300,143400,143100,218300,153300,163700,178900,282300,204000,213100,378300,234800,362400,250800,248300,260600,289800,653500,294400,307100,313100,313100,356600,337100,382100,386500,477700,504000,408700,426300,470000,460800,480300,485900,500600,483600,523400,588200,573700,608600,578900,571200,656500,617500,651100,837300,778400,679200,756500,730600,807800,783100,916400,822900,817200,868300,874100,854100,924100,1.18E+06,949500,1.62E+06,1.11E+06,1.01E+06,1.05E+06,1.28E+06
400,1000,1400,2500,3900,4900,15000,7600,10800,11500,14700,16000,18700,23800,27600,34000,32800,34700,40600,40600,43000,53300,59300,56700,62700,76400,82800,88200,86400,90400,99800,125900,113700,189900,129500,152000,142800,177600,160700,167400,179900,343100,201400,232200,297300,221000,311500,254800,244900,267900,274400,642100,314800,301700,311500,319900,357400,341800,380800,367400,491300,477200,415800,441700,437200,453200,460700,463700,496300,500700,516100,525800,570600,981500,570600,625100,650800,592300,637000,692400,680400,825600,728300,748000,747100,790600,884700,784500,844700,1.24E+06,888500,854400,913900,1.02E+06,926200,1.63E+06,983200,994800,1.01E+06,1.65E+06
400,900,1400,2100,3100,5100,13600,8300,12500,13400,13400,16000,19000,22800,26700,32200,32900,36300,38200,42000,47100,56600,57800,66100,69300,69900,82200,84600,89200,97300,113800,104800,122700,307300,127300,147300,187700,156700,159400,172200,170000,334600,207800,218300,216800,243300,334700,240500,250700,260200,277600,476700,284000,319100,310700,340500,343100,358100,445700,375500,409700,441700,416500,418800,452800,441100,465300,469300,522400,518800,658200,539100,577200,743700,583900,628300,619500,579000,650500,705800,676500,834400,772900,753600,773300,754400,831800,806100,804900,1.02E+06,886100,910700,886600,932800,942100,1.62E+06,983300,995900,1.03E+06,1.65E+06
600,900,1100,2300,3500,4700,13300,7600,11800,12600,15700,16300,35400,21600,25000,34600,31600,36000,38200,45300,44900,55800,58100,61200,66100,71500,83600,81100,88400,92800,142000,107600,162000,277300,133900,140000,143000,164100,169700,163600,180700,300400,213100,218900,224400,218200,306700,243400,257600,248300,459900,287100,286300,314100,311800,329100,361300,376300,423100,383600,388100,430100,432000,426300,463200,444500,461800,486300,488200,548300,737400,549600,556200,578100,591100,577900,621600,747000,644800,786900,666300,707400,786100,755800,754800,816600,773000,799600,805300,908700,863800,1.03E+06,907900,940600,926400,1.15E+06,953900,955800,1.03E+06,1.63E+06
500,900,1300,2400,3500,5100,15100,8000,12400,12400,14500,16600,19400,24900,26200,33000,29700,35300,40900,48500,51000,54500,67400,59900,65900,73600,71800,80900,87900,95300,113700,111800,115300,286500,130500,144000,150200,154600,159000,205600,174900,313300,210000,213600,220400,224500,398600,234300,251100,258300,259000,297500,286400,333500,306100,331600,356400,349800,392300,406600,410700,532500,391800,438000,462800,443800,464800,461400,485100,591300,523700,583700,563200,567700,548400,594500,642000,720400,641100,803800,672700,870200,981200,702000,741300,801400,788600,820500,1.03E+06,950100,836800,905800,928100,936900,930700,947000,963500,1.02E+06,1.04E+06,1.60E+06
