Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000
900,2100,3300,4700,6500,10900,10400,15000,21000,15300,17300,24200,24900,21900,31300,27300,33300,39700,32700,34900,46600,39700,41300,43900,45900,47700,50100,65900,54700,56400,58200,87500,78300,73700,68800,71400,79700,86600,92700,109100,150400,96100,169200,160300,93600,106100,96400,99400,119200,129500,107100,123600,115100,164000,116800,126500,132700,154100,131900,162000,133900,124700,169800,139300,177400,181000,163100,172200,175100,191700,160600,159800,204000,206100,209200,172100,216400,174500,186900,188000,181200,348100,189300,310800,247200,245300,240600,258900,187000,221700,236500,224300,240800,271900,300700,303500,236700,240600,225600,239400
700,1600,3300,4200,6100,10500,10000,14400,20500,15100,16900,23700,24000,21600,31000,26800,34800,37900,32400,34700,45300,39100,41700,43100,45100,47100,50500,64900,57700,56200,58200,61200,78100,73800,68300,69700,94200,91500,76300,100200,125100,94200,158300,136700,92800,105300,97900,99300,89800,128900,106400,144600,138800,107700,115800,117300,132300,153000,138400,160100,130800,132400,182500,139500,158100,165000,170100,167000,188500,164500,152600,159400,196400,196400,189300,171900,212500,186700,191600,187400,182200,262900,193600,271400,241800,242300,198200,192600,188900,186500,238200,222100,215000,269600,327900,207600,262500,246200,212300,214300
800,1800,3000,4100,5900,10700,9500,14700,19100,13000,16900,23000,24100,21300,27700,26000,31500,35600,35000,34200,45100,42500,40800,43100,44800,46800,49600,64700,73300,55800,52800,61300,78100,82200,67900,70100,78000,107300,94200,79000,103300,79500,190200,136300,92700,100200,104700,93000,101700,127200,106600,125200,136200,112800,116200,118200,127300,165700,126300,160000,131100,132700,169900,138200,141300,189500,182200,147600,187800,183500,157000,158000,163400,164600,151300,150700,214200,179300,157700,180100,182700,299000,188600,230500,241300,241800,251400,184500,202900,206400,266400,217300,215000,270000,346400,221500,281000,240500,218500,233700
600,1700,3200,4000,6400,10700,9200,14700,19200,14800,19800,23300,23600,20900,22200,26400,35000,37800,32900,34400,45800,48200,40100,42800,45300,66900,55600,64700,74700,56300,58200,61300,88700,80900,68300,70100,77600,97900,120400,78700,101800,79600,129600,134000,93600,94400,97700,130100,100600,126700,110400,115100,138000,113500,115400,119200,125200,129500,114900,139000,132800,132400,168700,138300,140100,174500,188700,147400,187300,137800,165300,159300,163400,162800,184800,151000,207000,167400,177200,180000,190700,252400,186800,352600,239900,242900,212100,185100,192200,229200,225700,228900,227700,261800,312100,233100,247300,230600,224600,226100
700,1600,3100,4300,5900,11000,14400,14200,17300,14700,15100,22700,33800,21000,23700,26200,34800,39900,32600,34400,45400,47100,40800,42700,49300,59400,49600,64200,69400,56300,57900,70600,78700,82900,68100,70700,77700,95500,72900,84500,122400,79500,146500,135500,96400,95000,97200,116100,103700,134200,96600,109000,138200,112300,115500,117800,120400,121900,125000,137900,130900,131900,161200,137200,125400,143100,208500,147800,177700,152900,156700,160600,162500,163500,160600,150100,183300,174400,180700,179500,181800,247400,186600,211200,223500,195100,197900,199900,211800,190600,208700,212900,230900,210000,246900,222200,254400,228700,262300,233500
700,1900,3000,4200,5800,10900,9400,15000,16700,14800,16400,22900,20800,21000,27700,26000,41600,40100,32500,34000,45700,48600,39800,43100,40400,59000,49300,64300,64400,55300,175800,60500,78800,72300,69000,70500,77400,100500,78900,78600,122900,79500,229400,135300,92200,94300,115300,131500,100400,94500,106100,106900,137600,112000,114000,117900,120600,121900,124800,125000,130900,135900,132100,136700,138100,159900,162700,146400,149700,152400,139000,158500,161600,174200,165800,216100,169700,176600,172400,190200,181500,257200,186500,227800,197000,186700,172300,199100,217600,182700,219300,211600,214600,209800,314000,221100,210600,226300,229800,232000
700,1700,3100,4300,6100,10600,9500,15300,17200,14900,16100,23000,20500,21100,24500,26600,37300,34500,32000,34200,45400,48200,47800,43400,45000,58600,49200,64200,59900,54500,58200,61700,78400,65500,67100,69500,77000,101500,77300,78400,120900,79400,212300,136300,84300,90500,98200,93200,99200,102900,105900,108000,136600,111600,114900,123200,120100,122600,124800,128400,130700,131100,131500,134200,138800,186400,149800,147400,150200,152300,138200,158400,160900,146600,201700,198500,170800,154600,176300,177800,171000,213900,161700,263400,177400,203000,192300,187900,192400,204700,197200,210500,215100,209700,308800,197000,223600,230200,231000,233100
600,1900,3000,4100,6100,11100,9000,14900,11500,14600,17000,22500,20100,20400,31400,26500,34200,33700,32400,34300,45900,47800,41100,42600,44500,59300,48700,67500,66900,55700,57700,61600,77800,65900,67300,66900,77700,102200,77100,77600,122500,79200,245000,137500,92600,93900,96700,99900,99600,126700,105300,99400,111600,111900,115600,108700,119900,123700,134800,128300,118500,132400,124800,135500,139200,135800,146200,147600,149700,155100,155900,156500,159900,166600,162500,165200,155100,184700,179400,166700,184000,181900,170000,265100,189300,183100,193200,197500,185500,205300,210600,204000,220200,200400,296300,223100,222800,226100,221500,235000
700,1800,3000,4100,6000,11000,23000,15500,11500,14400,15900,22800,20100,20700,33100,26100,34300,39600,32500,33600,45600,42300,40800,42500,44400,59700,49100,75400,67600,51000,58200,60300,77700,65300,66700,69800,78200,105200,77100,80800,122300,78700,124300,136500,90600,93700,95900,97900,99600,124200,106300,106900,110700,112500,114600,117500,120200,122700,124000,128300,155900,132200,128700,143300,133300,128200,145200,134000,149600,156500,157100,157000,158800,160200,162500,165200,173300,151300,173200,180000,168100,214500,185900,258400,188200,195000,192100,196300,202200,209300,209400,206000,221200,218500,299500,204300,220700,231300,232300,232900
600,1800,2600,4100,5900,10800,13600,14900,11600,14700,16500,23200,20300,20700,33200,26200,34200,39100,32300,33600,44400,47600,40900,42900,44400,58600,49100,57800,66600,65700,58800,68200,71800,65200,74900,70400,76900,103000,102800,78300,113800,78800,173300,136100,91500,92600,96900,98200,100000,114000,105200,107100,110800,122400,114700,117500,121000,122200,123900,120400,152000,129600,130100,134800,135800,143900,137500,144500,149400,136200,160400,153800,157200,159600,158500,163800,170700,174500,176700,178500,249900,189900,185000,244200,186000,192500,193600,198000,201900,186400,251900,209900,225400,214400,315800,221400,253200,209400,229000,263600
