Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000
600,1000,2400,2900,4300,5700,6000,8800,8100,10000,9600,14400,13500,16400,18500,15700,20900,22400,18900,21300,22300,23100,25200,25000,32000,31500,29500,31800,40100,33600,31600,40000,47000,45100,39300,50800,53300,43600,48300,53100,62900,56600,59400,54900,56600,64600,55700,71800,59300,85000,62200,67300,66900,84900,89700,88600,71700,85300,96800,82600,94200,92900,79800,117800,100400,85000,104800,87100,104000,89300,92100,98900,97800,114700,123200,109500,160900,111500,136900,116100,122900,137800,149900,111900,146900,108300,144200,147700,149400,261800,126900,158100,179500,131800,142400,135900,131500,191400,139900,171200
400,1100,1900,2700,4400,5100,5500,7900,7300,8500,9200,14100,13300,17600,18400,16500,20900,19400,18800,21900,22900,21500,25200,25400,34400,30600,30700,29400,39300,33100,33300,39900,45900,38200,39700,52000,57100,41600,50500,54100,62600,48500,55400,60500,63300,53000,55200,72800,57200,68000,65000,70600,66700,82100,90000,91500,73000,74600,96300,87200,97600,95800,77400,126100,90000,86800,107300,85800,91000,100200,92000,93000,98500,117300,120000,130900,173800,108700,140000,111900,126700,114000,153100,110900,138600,107200,143900,144400,126200,160700,126000,158500,191900,121000,147900,149800,128600,162700,130400,169300
400,1000,2200,3000,3800,5200,5400,8300,6800,9000,9100,13100,13000,16300,17500,16900,20100,18200,17100,20300,21900,21200,23900,36000,37800,29700,29900,30700,42300,34400,35700,43900,45200,38500,39100,51000,50500,41000,53000,55100,61200,50400,56000,51600,67900,59200,74100,64900,56500,71100,60400,68300,69700,81400,89800,90100,74900,85400,92600,72800,97800,95200,74300,122200,89500,88900,104400,84700,88300,85700,91500,92800,96900,119800,127500,118900,161100,114800,138600,116000,132600,124800,138300,114500,139300,120500,139700,139800,136600,161600,120900,153400,149900,123000,247900,142200,129100,164500,126800,169200
400,1100,2100,2700,4200,4900,5300,7700,7200,9100,43800,13500,13300,16900,18100,16300,20000,17000,17200,21900,20800,22300,27300,25200,32900,27600,30400,29800,40200,33100,42200,39500,45300,39700,44800,50700,42300,42700,226700,53800,59900,50800,54000,51100,65700,61100,55000,72600,64300,96000,59300,69500,68900,80600,84500,85600,75200,78400,98300,73400,97000,95000,74900,115800,88300,86400,106100,87100,95900,90300,94600,92700,96300,122900,114200,111400,140500,114800,138400,108900,131600,114700,152600,111500,140100,108700,142700,146300,133600,184800,125200,169000,138700,125700,149800,137400,127000,142800,128200,141900
400,1200,2100,2200,8000,5600,5200,8400,7600,8200,9400,13100,12500,16500,17300,16200,20800,20000,18100,21500,21400,21700,22500,25100,32000,28900,30000,33800,40300,32600,38900,42700,45300,38500,41700,48400,42100,43500,51400,53700,61500,50700,52600,51500,61100,55300,58300,70400,71100,94400,60300,72300,68500,66100,85000,89000,71800,74200,104300,75000,97000,95300,75500,118700,88100,89000,104000,85600,92900,86300,93800,93500,96700,97700,119600,118500,117400,111700,134200,107400,134500,114600,119500,120400,134400,107400,146000,149300,116000,147700,148900,151500,149900,120800,149200,145600,128900,130200,135800,139600
400,1000,2100,2600,4200,5400,5600,8300,7000,8900,10500,13400,13700,117600,16300,17800,19800,18900,18000,20200,21900,22200,24500,25300,35000,28300,32600,35900,41900,32000,41800,39700,45700,38500,39500,51900,42400,44000,53400,54200,108400,49300,57200,52200,61500,53900,58900,68400,72000,77900,64100,66700,67200,70500,91000,88400,75700,73600,101700,95100,94700,94700,75500,119800,90000,101400,105900,93100,91700,85900,92600,93200,107500,90900,118400,126200,123100,106600,139000,112300,129900,114200,109800,111400,138000,109600,111400,144500,127100,130300,159900,146500,131300,120500,180100,142800,133000,129000,202100,148500
400,1100,2000,2500,4500,5200,5600,7700,7200,8100,9700,12800,13300,17400,16400,16500,19900,16700,16900,21100,22200,21600,23300,25700,32800,29600,31600,36900,41200,31000,42900,38000,45100,37600,37700,50900,43300,40800,50900,53600,54500,49100,55700,52700,58100,66400,56800,64100,72500,57700,57700,86100,66400,70800,85500,89600,74600,74100,89000,74900,96700,105900,72400,113200,89400,90700,103600,86000,86000,83600,100300,92700,95400,96700,113900,119300,139000,110500,105700,113800,130900,111500,117800,120700,138100,112400,112700,114600,139600,125200,127600,126600,141300,120900,148400,138500,139200,127300,143500,140400
500,1000,1900,2500,3900,12500,5700,8100,6600,8800,10100,14500,12800,43000,16900,19800,20000,16900,17800,20300,22500,26200,24500,26600,31900,31600,40000,39000,40000,31900,40300,39400,47700,39500,38100,52800,49200,40400,50300,53900,48100,54600,54900,51200,56300,58000,56500,58800,70600,59300,63400,67400,76700,70000,85300,91800,73200,75900,77800,73800,84400,107700,73900,90300,89300,87500,84700,121900,86300,85400,92700,91100,94800,96100,90100,118200,135100,111100,108600,121800,130600,105700,112200,130000,144100,108400,112000,112800,149400,137600,167500,148700,128600,132900,157300,139400,156000,128600,134900,140200
300,1100,1800,2700,4000,5200,5600,8100,7000,8400,9800,13000,13400,13100,17000,15800,20200,18200,18400,20500,21800,27100,23800,29200,27400,30200,39500,38200,40200,31100,40300,40500,44100,38200,39100,51100,40700,43300,91200,59700,49000,49900,50700,51700,59100,55400,56100,60200,72200,57500,63800,65500,71100,66500,145000,89000,74100,74600,75700,72500,77600,106900,75900,99200,88100,84300,86000,91800,95900,85600,93300,103500,97300,93300,93500,101900,128500,114600,109100,109900,133200,110800,114300,116800,134400,118100,108000,122100,161000,134300,149100,134800,125300,208800,154300,145200,182300,129600,126500,132800
400,1100,1900,2600,4200,5100,5600,8500,6900,8500,9100,12900,13400,41100,16600,15300,19400,17600,17600,20400,20800,26100,22900,26600,29700,29600,39100,36700,42200,32400,41100,39900,44900,37100,43900,50800,41600,41000,57200,48400,48400,48700,54700,50600,57300,56800,59700,59000,74000,58400,63500,68700,67100,69900,128100,90300,73500,74800,80800,74200,79900,94500,85500,105500,90100,84300,84400,86700,85300,84500,95600,98600,96400,92500,88000,93700,137400,119500,104000,118800,129100,116700,116600,112300,114000,111900,106700,114100,221900,130900,189600,123300,130000,189100,143300,134700,152800,126300,129400,141100
400,900,1800,2700,3900,5700,5300,8300,6700,8400,10100,13500,12800,12600,17400,17000,20000,17500,17200,21100,20900,26600,23000,25000,28500,30800,37900,37800,40500,31600,41500,39600,47800,39200,62900,48000,43200,47600,54300,49100,49300,54800,56200,54900,55600,56500,58900,82000,57500,70200,71000,70800,68500,69600,129000,87500,72600,74400,80000,75300,79700,91700,78800,99900,86200,86600,88100,84700,86600,84800,95100,92500,96700,91600,89400,105800,138700,109200,102300,135700,133100,113400,114500,119800,107800,116500,108200,115600,197300,144300,307100,129900,127700,190400,156200,142800,153000,129600,126600,139400
400,1000,2000,2800,4100,5000,5300,8000,6900,8000,10100,13500,13200,12600,16800,16500,19600,16900,17900,31500,21900,26900,24400,24700,25300,29600,41100,40700,39800,31500,42800,40400,44000,38100,40700,52700,41800,40700,50100,49300,47100,54200,56100,57500,58700,55700,66800,72800,57300,59100,60300,71200,68400,68700,127100,86600,74800,76300,79500,71400,78600,95700,73700,98000,89300,84500,87500,88300,89000,87900,94600,90400,115900,95400,87200,94800,130400,130700,126900,117100,130100,117200,120800,115400,104600,111200,117600,116700,141100,142700,143900,124000,126800,185100,159200,150600,155400,124200,131000,138300
400,1000,2300,2400,3900,5100,5300,7600,7000,8600,9400,13800,12600,12400,17400,17800,20600,16600,18200,20000,20700,27400,23600,25700,26700,29100,29100,36800,39300,32700,54600,40100,45600,39400,39700,50600,41500,40400,198800,49200,61300,51400,57600,61400,58500,55400,59300,75700,58700,58400,57200,67300,72600,70600,133700,89500,71700,76100,78000,71200,77800,93500,74500,98600,88000,86100,87600,87400,81900,100000,94300,90600,89800,89900,101200,102400,131800,112600,103600,112100,108300,115700,124800,114400,112700,109500,111800,115000,152000,152300,150300,120700,130500,132200,146000,139100,141100,126300,130200,142900
400,900,2100,2400,3900,5000,5100,7700,7200,8500,9500,12600,15200,12400,24100,17900,19300,17000,28100,21000,21300,28400,23600,26100,25700,30300,29300,39400,41100,33100,32400,41700,46200,37700,40000,59700,39700,41200,49300,47900,62000,49600,52900,60000,57700,54700,55300,76600,56100,60400,61600,70700,73900,71600,122500,86200,73400,74900,76200,77000,79500,90000,85700,97200,87100,84700,86700,85800,86400,89000,92000,88100,88800,90600,93600,102100,129700,108400,103700,108800,107100,114700,111900,117600,110500,105200,162900,117700,128900,143300,152300,122400,122800,124900,150000,148700,130600,130200,134200,138100
500,900,1900,2700,3800,4700,5400,8100,7600,8300,9000,12600,13500,12800,13700,16300,18900,18100,17700,20500,32100,26100,24200,25600,29400,29200,31800,39000,41800,32900,34100,40900,47200,37300,38300,76200,41900,41100,52800,51200,57700,49500,59200,60900,59300,59100,61300,76300,57200,61200,58600,74100,67000,71800,77800,90200,76200,77700,80200,77000,84500,93900,78000,93800,85600,85600,82100,87300,92700,94600,93300,96100,89800,98700,90500,98700,127500,109000,102300,110900,106300,113000,123200,124200,109800,107300,158300,114200,131300,142700,131600,132700,133300,134900,144100,136700,125500,129300,141800,139500
400,1000,2100,2600,4000,5100,4900,7600,7600,9000,10000,14000,23500,12500,14400,17000,20800,16500,18100,19400,22300,26000,23100,24100,28300,29900,28900,38000,41400,32900,33300,38000,47500,38900,39900,49300,42100,44700,78700,48900,53600,53700,52900,60000,57000,56500,58900,76600,57600,57000,58000,69000,68300,69800,64200,88800,73400,84800,82700,77900,83900,75500,75800,101400,90100,86100,82700,86300,94200,87600,92400,98900,96700,104400,93500,97900,133800,112300,102300,107300,106700,113400,118800,118900,109100,106900,136500,113400,140800,146300,125000,120400,125700,123300,170000,136400,132400,125800,135000,138700
