Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
244,272,434,585,826,997,1205,1384,2033,2288,2339,2799,3172,3833,3989,4497,4932,5441,5926,6198,8984,7885,8248,8933,10148,10697,10722,12180,12856,13283,14462,15203,15593,16774,17379,19317,20948,20389,22020,23278,22795,24190,24562,27913,29563,28904,29237,31533,31436,33807,36241,36999,38189,38227,40635,43287,45107,45166,47784,49208,49912,51088,53645,54724,56881,57261,60436,62627,64086,64067,68042,69607,71030,80055,80123,141518,99209,87322,79184,104598,86316,85992,89412,93198,95316,138795,107533,110115,101715,100914,113921,106604,123114,113653,143093,120924,144468,123567,131616,127335,
141,208,380,502,4337,867,1181,1381,1614,2089,2199,2721,3283,3962,3970,4252,4535,4894,5854,6339,6939,7905,8094,8818,9384,10631,10817,11865,12382,12801,14230,14964,15957,16184,17823,18713,19244,19765,22518,23192,22874,23595,25001,26275,28327,30317,31133,32517,33888,33607,35157,37345,39140,39616,40772,42580,41134,46855,45522,46166,51603,51369,52320,53434,57378,58178,61144,59676,62271,64052,63892,94262,97011,76419,80213,90306,95705,94562,79356,98054,85691,89181,87439,119719,141671,120227,113295,107632,105080,102584,116739,110187,120413,115867,116173,118326,145828,118926,124540,127710,
101,248,345,547,931,918,1173,1420,1764,2085,2456,2651,2797,3922,3838,4414,4783,5778,5691,6380,7169,7946,8111,9262,9967,10225,10912,11846,12586,13132,13989,15423,15984,17184,18020,17850,19256,20327,21086,22931,24305,24873,25524,25879,27360,28062,29991,31380,32291,33170,38265,36777,37911,39769,40702,38525,42102,43675,46001,48357,51407,51748,52402,53929,54950,58324,58874,63963,63253,64834,68077,86010,76086,76496,80077,74955,76084,93292,81641,82454,120486,129734,88884,161040,152794,107515,98112,106736,101718,108126,112380,107239,120037,109480,120516,123516,120491,126336,130611,204273,
128,198,410,574,870,1009,1146,1470,1680,2201,2301,2844,2825,3615,3782,4030,4834,5011,6037,8089,7063,7330,7887,8725,9045,9969,10546,10782,12984,13657,14408,13650,15417,16404,17769,18631,19137,19297,21331,23186,23465,24206,26879,27131,27826,30306,29727,32169,32130,34102,34988,35984,38051,38238,41452,43589,41889,45290,48176,47531,48181,50398,51943,54529,55294,59265,60366,59999,60561,67173,67043,93304,75744,77070,78825,73659,78282,79072,86708,84281,86602,87976,88775,94880,99157,107011,99157,114247,103227,107589,116473,111233,121583,112007,117716,117621,123939,125564,161949,124901,
147,204,353,533,838,864,1059,1484,1684,2086,2261,2818,2915,3774,3886,4205,4668,5514,5525,6244,7062,7622,7773,9257,9668,9890,10738,11180,12031,12951,14542,14473,15666,16284,17314,18194,19262,19891,21271,23110,24437,24117,25975,28316,27205,28817,31244,31197,33525,32356,35773,36808,39235,39786,40744,43023,42764,46468,46369,48711,50401,50978,55357,52727,57210,58829,60730,61463,65123,64072,70314,72614,75024,93823,78663,114975,78450,80700,80278,84066,81716,124357,90549,104772,98492,101624,99103,108122,102961,107565,117248,106181,118813,112141,114615,122359,123594,124291,141138,127733,
125,212,354,550,679,884,1117,1295,1625,2190,2357,2691,2888,17077,4015,4319,4717,5158,6061,25214,7197,7390,8442,8215,9489,10323,10831,12139,12449,13362,14338,15074,15451,16308,17870,17586,18740,21461,21048,21886,22650,24219,26417,25715,29044,29368,29956,30733,32473,34173,35971,38089,36468,38967,43038,43839,42528,44765,48278,46233,52727,49696,52121,56204,55117,58316,60779,60496,61699,64696,87972,74012,79733,131409,146717,76323,75918,80252,82023,83509,83396,92221,153634,93187,121374,108724,97110,110402,100641,143233,113630,147695,118425,114120,122026,116258,121599,121726,133470,132336,
109,247,356,503,773,923,1097,1383,1754,2129,2379,2641,2949,3132,3712,4381,5017,5455,5421,6848,7015,7317,8182,8533,9969,10470,10894,11586,12992,14092,14421,14673,15511,16950,17000,17857,19169,20935,22700,22814,23974,24093,25474,27637,27553,30229,30819,31318,32400,32714,36766,35484,37591,37590,41206,43645,43950,45832,44960,48966,47676,52141,53564,53366,55424,59750,61435,60323,62043,65547,75743,77669,81601,90348,77402,75215,79785,78833,78123,82585,83956,88922,124800,90570,96914,104907,98586,104589,104681,206588,110430,108609,122842,113644,165441,121369,123579,120357,126546,127607,
110,208,337,570,691,781,1089,1445,1551,2183,2231,2772,3226,3521,3970,4522,4436,4946,5445,7067,7539,7252,8563,8787,9444,10333,10462,11956,11590,12934,14182,15588,15795,16665,17164,18214,19878,19985,21027,22140,23175,23997,25294,26430,26603,29357,30321,32075,32625,33212,36176,36400,36527,39811,39731,43381,42983,45140,46508,48890,49965,49203,52771,57191,54227,58437,61799,58496,63181,87404,73551,76233,77326,71038,88167,75006,78948,78053,157357,87340,86932,106000,103860,91569,93481,104434,96894,105798,126939,107385,121995,105890,163820,154436,116451,119213,119787,125685,128692,129566,
104,221,374,538,686,855,1121,1376,1625,2075,2413,2458,3144,3426,3790,4174,4744,5109,5574,6773,6718,7204,8470,8595,9468,9788,10822,10690,12285,13194,14221,15437,15313,16045,16658,44127,20104,19711,21350,22645,23479,24969,25013,26850,27894,29928,29316,31067,33503,33759,36239,38175,36692,38684,40888,43100,43544,46534,45473,48563,49129,49455,51131,54657,56568,57752,58461,59630,62066,71955,71460,67588,73642,69058,77060,74364,76340,78598,79940,85584,86751,135588,90287,129523,98461,103468,96180,105258,124256,107282,115443,108631,112324,115048,117451,118977,164762,122246,123336,131176,
111,199,346,557,675,1022,1146,1315,1647,2185,2284,2501,3172,3433,3797,4239,4854,5365,5610,6758,6717,7421,8050,9286,9549,10428,10399,11422,12124,12369,14062,15007,15264,16380,17447,36854,19598,20909,21655,21098,23720,25138,27854,26198,28662,28534,29996,30254,32056,33507,35874,36069,37179,38480,42071,41841,44699,45231,47373,49761,49180,49412,49923,52928,54930,58132,61223,61412,88950,69498,72191,74246,74705,73985,73185,74393,78373,97283,82780,81251,115242,91406,87409,93024,95173,103439,96475,111579,106562,104680,123356,106840,190958,111750,116774,117766,120967,122777,121910,175073,
