Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
316,974,2045,2782,4922,23556,27614,28375,35251,37843,39059,45104,32736,54601,40161,63374,67202,89334,79302,62029,81870,81974,95366,126101,108551,105832,140048,160205,168047,182814,177409,213133,158914,205860,212721,288892,212821,255001,349322,242655,275861,296656,296719,329397,312404,357097,369472,381335,375521,409681,432743,407291,539067,463763,490798,512559,563462,524935,622365,598823,608279,621139,693155,645914,696969,738954,712341,798909,753420,754159,797600,823358,873681,891214,918973,928415,920239,999689,980928,975599,1.06459e+06,1.05685e+06,1.12448e+06,1.14932e+06,1.15724e+06,1.13677e+06,1.19053e+06,1.26279e+06,1.25588e+06,1.21496e+06,1.27715e+06,1.29016e+06,1.39976e+06,1.40598e+06,1.41858e+06,1.453e+06,1.48562e+06,1.50363e+06,1.6126e+06,1.5889e+06,
336,823,1907,3048,23308,7477,10510,13554,16520,18925,35948,40879,43096,49911,73507,55914,85509,82652,72906,64416,86684,88085,101952,91855,107225,160754,113303,123085,132759,138543,150485,161238,170566,174764,191255,200337,209906,216681,240042,246178,251737,259574,276553,284717,328128,327722,342339,360546,369580,378990,441083,418288,515042,447638,512224,506728,531189,511260,504623,580215,590102,596570,614204,656805,662133,724563,693823,696866,763784,768665,784816,837504,834912,848087,889203,947682,945188,999523,960479,1.00629e+06,1.02207e+06,1.03537e+06,1.06578e+06,1.07972e+06,1.10693e+06,1.11903e+06,1.11439e+06,1.16484e+06,1.2379e+06,1.2354e+06,1.30572e+06,1.34481e+06,1.27712e+06,1.35688e+06,1.32144e+06,1.40886e+06,1.42845e+06,1.40537e+06,1.46858e+06,1.49904e+06,
243,920,1703,21684,5623,8023,10061,13357,28556,30902,22361,24887,25577,34042,38734,42628,61631,57818,59346,88161,91221,130073,99564,98054,109734,106086,148153,125165,179356,138290,148067,165423,170271,221429,228772,192919,211355,267816,227806,250163,301680,270987,301628,285333,314525,308345,367396,350882,352886,427255,444932,413751,509581,487942,446387,465876,488666,487204,507434,606951,618314,649203,602887,609520,680265,681743,672273,726911,757146,738362,800776,825884,858523,814682,844464,869568,867142,910659,925102,949369,948651,1.02021e+06,1.02824e+06,1.04928e+06,1.07227e+06,1.10404e+06,1.09726e+06,1.11205e+06,1.18687e+06,1.21118e+06,1.17172e+06,1.21208e+06,1.23689e+06,1.23516e+06,1.3197e+06,1.36521e+06,1.33603e+06,1.40623e+06,1.44008e+06,1.41954e+06,
243,845,1573,3222,5947,8966,10690,12797,14383,17908,21293,25370,26478,33447,37335,41702,46753,50274,57934,80662,89666,81999,99869,88643,101869,105176,109253,111548,135725,144382,151690,146775,206504,177024,190640,201643,244323,217744,229720,250272,256349,264068,303063,292835,345134,331657,322006,361711,352033,376348,402430,444196,563416,443827,452306,472330,465269,497492,526776,523374,531443,558772,571033,625320,618175,672035,664723,674387,684296,727218,737876,802478,791829,799849,816082,816519,880346,884349,946239,933080,958369,979626,986751,998117,1.02976e+06,1.09268e+06,1.10035e+06,1.14228e+06,1.15269e+06,1.18191e+06,1.18983e+06,1.23511e+06,1.24953e+06,1.25202e+06,1.28218e+06,1.3264e+06,1.35651e+06,1.39711e+06,1.43795e+06,1.414e+06,
299,874,20344,4139,5549,19193,9000,12608,15158,16526,22490,26083,27606,34407,38071,42746,46144,55956,57101,63154,87517,83254,97352,150985,107953,103097,112541,117128,128980,138067,185178,155679,167213,175436,185978,198480,252185,264430,274863,247160,261757,264490,283694,303320,304790,315694,350004,401931,363246,359592,387907,404800,431255,436669,447426,472257,470458,506096,513790,535844,553020,562746,604332,585430,626005,653979,661221,677385,713305,711638,742797,735458,772358,822405,807436,850670,848594,895788,896944,931067,922529,988710,1.01078e+06,1.02543e+06,1.02736e+06,1.05886e+06,1.11009e+06,1.11283e+06,1.15096e+06,1.19092e+06,1.20348e+06,1.19826e+06,1.24195e+06,1.25835e+06,1.26451e+06,1.35477e+06,1.35118e+06,1.36092e+06,1.39296e+06,1.43684e+06,
289,875,1847,3603,5770,6468,22247,24596,14310,18687,21031,25601,29007,35007,39880,42701,48261,51271,61209,66880,88427,82978,103387,121947,107496,106780,115644,126880,133207,141447,198213,198387,168589,176062,192288,231501,205515,226930,325434,240025,245216,262492,283406,282747,310688,319881,324383,337532,354151,371409,390706,410799,401520,430837,466523,455099,470063,491994,531035,509202,574088,551839,580884,610188,615478,621966,666378,667378,689242,718380,755808,765317,765371,799167,819938,844741,845752,894224,916200,932624,935676,1.01478e+06,998802,1.03672e+06,1.04503e+06,1.08566e+06,1.08474e+06,1.13441e+06,1.13429e+06,1.17699e+06,1.17024e+06,1.25863e+06,1.23422e+06,1.27362e+06,1.32499e+06,1.30577e+06,1.3642e+06,1.36187e+06,1.47176e+06,1.46855e+06,
257,848,1649,3580,5963,6640,8978,10829,15822,17717,21896,26695,28150,32115,36182,44064,48427,53370,54945,63638,81153,84055,104154,95094,122954,109264,113841,122327,136852,169239,153063,157202,168024,180991,183672,193430,209446,274281,239774,242915,300694,263119,278271,293485,294727,310749,334614,339231,353991,366801,396814,393568,412472,413207,452411,476734,482563,501245,501079,537169,538627,577182,586529,594112,613890,657069,673917,670414,689331,716695,756532,762372,773147,807856,800101,838672,878242,879986,880548,919427,932214,989913,987168,1.0104e+06,1.06559e+06,1.06462e+06,1.0949e+06,1.09102e+06,1.16279e+06,1.16155e+06,1.14521e+06,1.22496e+06,1.26047e+06,1.2723e+06,1.29277e+06,1.34742e+06,1.37748e+06,1.36221e+06,1.42783e+06,1.43141e+06,
295,804,2094,3748,18215,5583,8727,11401,13245,17772,20897,26738,29899,36902,39737,45514,44077,47693,55356,67978,87679,84737,102965,99691,98314,107530,109667,126790,122930,149121,149466,164440,169503,179016,184036,232124,247669,214099,225834,239867,255726,258878,275183,289887,291444,353191,327520,348894,357502,366371,389475,402136,399900,425889,435743,471175,476135,496259,513836,537844,548748,551762,583880,602198,608262,641535,661092,650158,690519,715105,755873,776287,789755,793332,828464,841262,872152,877528,883170,958858,964909,962052,992335,1.02133e+06,1.06539e+06,1.05984e+06,1.08983e+06,1.10511e+06,1.14984e+06,1.17324e+06,1.20493e+06,1.19853e+06,1.24875e+06,1.31622e+06,1.37484e+06,1.49194e+06,1.45416e+06,1.55323e+06,1.61911e+06,1.61187e+06,
282,19050,2315,3951,4529,6470,8681,11139,14718,21060,22216,24471,30526,53612,36589,40974,48005,51632,57283,64386,83550,84724,102207,97010,126732,103542,113775,145155,130440,139792,150817,161263,163221,216063,181872,189834,214702,212175,275029,244103,253350,306649,272454,293462,303966,322228,322629,343201,366525,364391,392583,411596,407667,424811,445513,478504,479803,509584,542321,532276,538671,547988,564643,716342,632043,640260,650733,661900,677184,722332,727594,713644,766286,768876,820957,833443,847916,872025,886597,949427,953397,968238,978472,1.05477e+06,1.10284e+06,1.06835e+06,1.07712e+06,1.09979e+06,1.24221e+06,1.30783e+06,1.25996e+06,1.40119e+06,1.27798e+06,1.45099e+06,1.45635e+06,1.39403e+06,1.49902e+06,1.52557e+06,1.50942e+06,1.52116e+06,
271,911,2250,3845,4711,7024,9125,11215,14807,40015,20571,22736,30559,48069,36608,43680,48706,53637,57665,64054,69744,89684,101178,110747,121492,108132,109361,134142,161346,135344,151452,159780,209632,173990,185870,201058,210028,221766,233596,229317,256603,268733,282561,289064,308455,348104,324861,333377,356122,368021,387335,400357,407980,424035,458454,459091,486877,498322,513959,530368,541308,551125,557185,599992,608759,645793,670393,682957,706084,701173,734914,754404,770059,789559,813792,834549,867219,877806,917561,911893,950910,948993,985742,1.13598e+06,1.19531e+06,1.23119e+06,1.23932e+06,1.36714e+06,1.29171e+06,1.2349e+06,1.30617e+06,1.35038e+06,1.35639e+06,1.44713e+06,1.3815e+06,1.49733e+06,1.56932e+06,1.43894e+06,1.38071e+06,1.52185e+06,
