Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
298,712,1171,1779,2362,3545,4241,6410,23812,8674,23049,27890,29624,32291,16307,36623,37039,40106,23521,42195,44273,50321,52184,33233,35450,36551,43252,66866,69072,70622,69256,70957,55827,92423,84075,87665,110760,83541,78460,115570,126886,126376,122208,135201,133971,170150,152134,155427,117641,165023,174881,132473,176858,185864,143366,187766,193742,204459,208799,226352,224136,229991,237407,190087,198928,268075,247964,220188,247785,288760,290352,304934,249526,310798,298426,266410,341454,326354,323474,340564,367392,316808,316031,323762,389900,429347,388339,439216,407837,414298,424217,384381,434493,488767,403684,461356,424409,470877,532643,491122,
249,598,1054,1597,2329,2974,22143,5855,7280,8208,27650,11546,14079,14898,15189,16770,18039,19767,42206,24512,26872,33916,35210,64932,33468,36234,77768,56332,60550,64753,70406,71346,55593,58940,86090,79886,81170,83412,75641,81384,82606,87006,121032,95679,99803,117900,124371,111790,114726,117063,143376,130638,134227,139050,142394,144953,153509,159485,164493,194543,203786,214572,185760,189696,200517,236044,207786,212508,219702,258320,231310,276886,246339,251026,258981,265428,316445,278228,283824,340123,313806,306469,314474,318772,331296,389393,345801,404958,360188,366073,374240,380507,390944,413552,407619,414664,426604,433946,439738,501957,
240,602,1000,1590,2185,2988,4265,6139,6989,8614,9928,11227,12791,27944,15497,16522,18517,33073,36677,38095,39063,45849,33084,32638,33848,36242,61030,41194,44302,46343,57617,60361,55690,59726,70987,64028,78252,71480,77421,78743,82790,86742,105218,95278,98786,102901,118624,111329,115424,119338,123913,128822,134184,139200,142834,146097,153884,157634,164399,170978,203762,180210,185962,191331,195524,227346,208083,214261,221602,225757,249258,242429,244305,253677,260800,292725,315361,279349,285162,342232,301606,309594,312911,320853,327976,392098,338899,352265,373774,367620,374971,429722,394517,395107,405729,414925,423358,504424,472345,522134,
253,558,1072,1635,20930,21750,4794,5697,7136,21939,9641,24503,12676,13818,15865,16540,18286,18665,23806,25758,24471,28225,36182,31261,33401,36067,43835,40601,43713,49105,48864,52007,55365,58546,64766,65298,68607,72597,76169,79495,84082,88692,104570,95369,98173,103930,107649,110667,115609,123167,125378,136810,134537,139934,143567,150009,153107,159643,190588,169909,202394,179697,185200,207135,197063,268893,211263,215298,240560,223649,230473,238686,289826,250578,258458,289319,316026,313174,284895,340366,315337,304725,314906,318568,337006,391098,399213,349696,417535,365897,376148,381433,419386,458637,421744,482970,423511,503802,513039,522544,
249,591,1035,20248,2322,3521,5052,5885,6767,7587,9701,10544,13419,14180,15746,30481,18883,18961,23379,25893,25065,30281,48531,30819,33486,36237,38517,40802,43636,53051,49430,53116,64147,58488,64023,66023,68530,71833,75445,79048,82540,86929,104663,95440,112746,102567,106507,111926,115505,117230,125819,139476,134077,139570,143418,148399,153538,157697,163925,170716,203060,181135,185774,190051,196456,236542,225615,244328,255709,225176,232187,239329,285443,264975,256883,268408,316394,324441,319771,341491,299618,303838,314639,345821,381865,392878,366769,365717,416915,365014,374198,407113,454680,425213,474641,485281,424309,476779,515466,522797,
241,564,977,1707,3153,4048,4702,5802,6848,7567,22792,10793,25356,12001,16041,15106,19370,18582,23361,25926,24941,31487,32889,31047,33702,35513,39226,40836,44235,46918,49031,52646,64047,58007,62246,65479,68533,71675,76432,80504,81912,86764,105212,94216,96602,103314,105876,110391,116150,117892,124406,129461,134796,139331,143625,148639,171270,173566,165691,169039,202077,179967,186995,190376,198134,234986,205717,250619,218045,225524,270189,238168,249175,293863,260341,266042,315641,284481,302913,342278,300328,305897,315360,321175,382122,391007,399888,409847,420491,412281,373002,445154,455687,443047,470653,450245,434213,427094,465629,523877,
220,598,19431,1757,2997,3998,4849,5669,6767,7574,9231,9199,10697,11753,13185,17473,18739,19038,23453,25744,24857,30811,31728,31366,33909,36361,38963,40952,49574,46490,49343,52273,64413,59023,61308,65168,68245,72072,75682,79393,83279,87029,104956,121578,96260,102477,106231,110721,115928,118175,148576,127731,133113,136785,146223,147835,178222,159349,164936,168807,202179,202906,184131,191131,197762,236487,202946,214987,216752,226896,273337,242856,246044,293491,260507,265028,316943,300682,285022,341175,296888,306348,314672,319831,382863,391105,344627,409145,417389,427384,437512,447090,453701,398747,407315,415593,494454,435125,441166,522539,
227,529,1188,2024,2717,3548,4746,5795,7260,6844,9072,9346,10523,11953,13569,35588,17945,18563,23549,26326,25165,28260,31607,30770,33727,36966,38463,41721,50023,46488,49206,51924,64133,58222,61895,66046,68487,71702,75811,80205,83649,86873,104267,118962,97118,102424,107070,117310,124087,118154,130850,129515,133265,137949,144251,162639,178622,160565,163911,169757,199834,219162,184943,189035,195477,237283,205796,216132,224870,227762,270850,278613,275845,293154,258011,307912,317145,323872,288143,340849,298580,306820,316973,321715,340712,393075,344070,409495,382231,427344,436846,444643,456899,402504,409196,412024,494468,430725,441767,450652,
262,513,1114,2044,2795,3659,17962,5999,7227,6800,9197,9205,11027,11911,13464,16478,21116,18826,23898,26037,24489,32213,32617,31027,33360,35524,38269,41087,50334,46796,48939,52661,64054,58335,61285,65151,67827,71713,75604,78426,82217,86574,105384,95222,97587,103322,107765,128322,134467,119578,124386,131402,149026,138589,145245,149357,175404,158474,164223,172574,175451,209066,186358,193891,194818,235584,203893,217777,256916,227053,270366,278170,285614,294678,260129,308181,316604,323584,282657,290215,325796,306833,320003,318652,383353,392942,344119,408697,418938,426062,405366,441515,454500,401737,451037,486338,493993,432781,443685,453995,
264,507,1201,1914,2873,3993,4209,5739,18426,7095,9249,9259,10459,12065,13766,30786,18136,18895,23421,25492,24821,30402,29746,31782,33738,36286,38704,40817,43400,46908,50274,52258,63721,58986,61921,65520,69212,72382,75620,77737,81736,87685,104880,94475,96034,103548,107824,128304,133492,118735,125869,128951,154605,139981,142122,149847,178523,160222,164646,168784,171746,208119,184880,190164,197034,235731,209895,214405,216964,226407,272119,278553,285031,293298,259007,281759,317033,309530,284604,292378,349094,309242,315712,322324,382741,391514,339717,387448,418139,423511,379136,438486,447195,399437,472494,484077,487334,489166,441627,444026,
