Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
2307,1653,2658,3325,4510,5531,28839,8550,8059,27194,9794,31246,36618,13419,17695,31269,33163,33547,31719,35650,20347,43637,22159,19932,39244,21851,23674,23567,25946,30225,25968,25928,27526,28278,29838,29481,31710,31633,32001,33686,35073,41378,36486,37014,37485,38290,39399,39556,40416,40742,41863,61107,45881,64231,65726,66463,48307,66754,68091,50523,72142,70187,71195,51611,72433,73638,91077,75148,93058,101891,80521,102185,62651,95530,97765,82993,98754,104551,68300,104517,102029,109493,95691,75180,105130,124329,96076,110591,111485,111927,79496,79457,115489,115323,137515,100693,83539,116752,122555,119587,
745,1231,1940,2436,3276,22461,8698,6407,23702,9226,26115,10885,16054,10528,13143,11425,13301,13457,12894,15012,16167,35353,17013,16473,22619,18494,19371,22136,20349,40737,41069,41352,42641,24273,25085,44873,46558,46847,28277,51704,50273,30898,52159,31832,65422,33552,55206,35672,35465,69185,36940,52944,53778,54234,54983,56318,56500,57928,80413,44822,60814,61339,50207,46444,63065,64773,51174,65941,86586,51960,56106,56094,55161,56257,57690,60266,60403,60169,61434,63251,65127,65415,79553,68612,68619,67949,84572,68708,69237,69768,71051,72526,73114,73688,91564,73884,76663,75736,77528,79003,
630,1092,1789,20594,21910,5074,8161,6336,7934,9094,11272,13470,28482,10377,12728,26653,25172,25103,12673,26830,15812,15123,17216,49144,21670,51556,52857,40276,53202,22553,23700,23701,25781,24002,24517,39097,41718,41525,27846,30778,44126,30169,44711,31277,31976,33004,47875,35027,35355,35564,36199,37850,38877,41552,40605,41154,41445,41793,57980,43866,44373,45630,49695,45784,46876,48440,50092,50203,51872,51241,59068,55789,55400,56139,56525,63628,59515,59287,60753,62158,62161,65027,63514,68173,65276,67077,67846,68793,68169,69720,71178,71495,72664,73819,74535,74321,76231,74978,77927,77151,
587,1058,20196,2619,3558,5660,7919,6338,8151,9415,11430,14014,14302,12535,13452,28690,10961,12143,12488,13578,15326,15596,16719,16030,21277,17750,18413,34472,20165,34600,35653,35591,39834,23353,24246,25430,26339,26487,27615,31159,29446,30478,30800,30872,31802,32611,33489,34568,35164,35681,36005,37345,38048,39069,39731,40759,41465,41837,43133,43893,44326,44607,52088,46037,47156,48020,49558,50163,51334,67472,67378,57925,54226,55248,56246,71177,61519,58920,60166,98766,61582,64025,62708,67943,65057,67219,67468,68560,68861,68850,70876,71731,72531,73508,74915,73036,78540,75097,77788,77484,
529,1047,1946,2534,4929,5516,21087,6428,8239,10568,9412,13754,14636,12358,10212,10918,11238,11798,12547,13507,15476,18510,16608,15895,21170,17754,18236,19256,19854,20310,21042,21610,23077,23225,23994,25337,26153,29002,27200,43014,29239,29701,30159,30764,31166,32777,33690,34458,35285,35889,35815,37153,38196,39174,39730,40608,41226,41097,42561,44032,43788,44991,60358,45568,49284,48070,50565,49804,51098,53003,52609,55123,54538,54885,55521,57230,58948,58728,59879,62663,61391,64255,62943,67694,64984,66823,67380,67819,67953,70444,70644,71164,71914,75551,74374,72870,76232,77456,77909,78632,
510,1065,1849,3747,4272,5900,52240,6341,20960,6946,7592,23154,14405,12433,9760,11049,11178,12123,12311,13422,15177,14576,16670,15832,20854,17977,18757,18967,19638,20737,21102,21803,22798,23039,23717,25169,25616,26193,27264,28383,29086,30271,31227,31381,31621,32347,33350,34395,34841,35557,36075,37509,38639,39201,39583,40924,41498,42030,42738,43731,44212,44695,45634,45723,47391,47527,49738,49449,51291,53219,52716,54552,54424,54630,55800,56347,59262,58683,59476,61854,61355,64151,62722,67607,64936,66646,68173,67587,68228,68771,70214,71763,75132,73657,74520,72503,75841,75283,76323,79500,
473,1047,2507,3402,4512,5714,7449,6977,6617,6873,7350,9710,14249,12271,9728,22898,11199,11694,12413,13274,15112,19167,16949,16270,19589,17479,18376,19014,19761,20203,20954,24324,22549,23062,23872,24814,25728,26098,26841,27864,28953,29554,30484,31127,31718,32603,33883,34187,35072,35446,36625,37366,38210,39012,39534,40454,40976,41968,42709,43344,43830,44842,45497,45776,46454,47635,49046,48969,51190,52826,52706,54548,54721,54973,56339,56414,58860,58228,59563,62208,61804,64897,62788,67428,64353,67108,67834,66964,68685,68151,70236,72233,72585,73471,74916,72491,76204,74662,76780,122124,
506,1056,2593,3557,4823,17182,7476,4847,5601,6713,7497,9807,13939,9570,9623,10159,11150,11790,12261,13371,15125,14711,16575,16215,19786,17921,18488,19358,19542,20500,21079,21678,22667,23125,23818,25021,25537,26435,27231,27977,28948,31994,30704,30671,31547,32511,33325,35975,35377,35103,35784,37203,38324,39122,39795,40010,40820,41172,42667,43326,44018,45317,44987,45760,46709,47608,50091,49219,50389,52746,52942,54858,54757,55930,55797,56114,59311,59213,59793,62483,61583,64035,63292,67841,64528,66463,67385,67530,70683,72146,70229,71833,71457,74043,74553,75794,75633,74317,76674,77682,
485,19432,2504,3792,4143,3617,25890,4736,5419,20149,7120,10632,14283,9681,9779,9959,10866,11794,12521,12883,14892,15737,16363,16305,20660,17773,18791,19055,19441,20808,21224,21899,22789,23242,24094,24792,25606,26400,27079,28046,29226,29491,30542,30933,31782,32209,33592,34142,35124,35464,35875,37376,37984,38955,39454,40785,41473,41975,42138,43030,44425,44816,45530,45366,47409,47271,49628,49797,51601,54301,52616,54921,54344,55946,56116,56107,58711,58859,60008,61446,61609,64012,62610,80254,65070,65793,67451,70775,68336,68803,69962,74173,72432,73049,74005,73116,75661,74819,77275,91032,
495,1147,2479,3603,3747,3452,7957,4683,5448,6264,6660,28379,14228,9582,9638,10140,11090,11755,12091,13280,28159,17782,16432,15619,20170,17721,18288,19248,19123,20422,21115,21565,22657,23347,23888,24938,25590,26032,27208,28300,28797,29780,30102,30637,33467,32455,33528,34064,35280,35787,36365,37414,37874,39176,39766,40082,40996,41269,42788,43410,43690,44706,45374,45684,47329,48280,49677,49748,51240,52763,52089,54410,54512,55199,55699,56511,58999,58760,59205,62348,61415,64431,62648,65286,64462,66922,66743,66874,68071,68674,70202,71199,72484,73512,73506,71945,75438,75036,76381,75345,
453,1082,2482,4029,3758,3539,7976,4615,5432,6115,6711,10108,14135,9601,9799,10061,11058,12723,12176,13484,13970,14531,16636,16102,37205,17702,18311,19264,19805,20915,21026,21490,22724,23355,24008,24887,25860,26649,27313,28105,29382,29903,30237,30561,31296,32560,33390,34593,34638,35140,36444,37121,38246,39273,39499,39904,41107,41420,41730,43593,43818,44527,45434,45850,61607,48650,49690,52105,50917,53141,52537,55231,53656,55638,56261,56758,58795,61647,59668,61785,61616,63361,62304,65064,64957,67094,67729,67983,67837,68977,70484,71459,71667,73523,74088,90124,75575,74252,77618,75452,
486,1118,2526,2883,4021,3443,8061,4613,5449,6105,6807,9848,14095,9573,9755,10131,10989,14303,12035,13110,13999,19179,16560,16233,32359,17251,18319,19247,19375,20288,21326,21683,22887,23474,24135,24897,25879,26053,26813,28000,29012,29632,29974,30852,31255,32035,33368,34107,34821,35471,36322,37273,38503,38960,40015,40056,40999,41229,42263,43076,43794,44392,45172,45715,47704,47960,49986,49022,51108,52814,52673,55507,53659,55095,94208,56562,58210,94139,59160,62839,61323,63744,62207,65013,65156,66966,70244,67970,68208,69112,69945,71640,75169,72999,73419,76848,76003,74556,76589,76148,
513,1279,2737,2439,3939,3437,7631,4720,5433,6145,6950,10012,14077,9826,38523,9981,10850,11860,12339,13094,13815,14554,17523,15998,17983,17427,18109,19143,21912,20383,21616,21858,22680,23013,24132,25010,25774,26470,27259,28418,29150,29309,30416,30488,31276,32365,32990,33732,34996,35180,35812,36753,37729,38714,39444,40495,40881,41576,41519,45718,44028,44702,45716,45313,48130,47852,49629,49182,50358,53052,52296,54852,54137,55730,55603,56125,57849,57763,73422,62100,61338,63914,62980,68926,64339,66678,67447,67539,67328,68555,69967,72012,112825,72941,74326,76312,75294,74613,79470,75337,
467,1765,2465,2414,4015,3362,7866,4808,5355,6191,6903,10598,14251,9740,10592,10078,10991,11631,12237,12956,14051,18682,26570,15875,17987,17452,18390,18876,19875,20395,21055,21888,22584,22922,24069,24616,25337,26229,27088,27954,29437,30152,30325,30698,31255,32632,33253,34284,34607,35167,35763,36835,40471,39109,40300,40425,42879,41320,41803,42746,43701,44397,45473,48010,47718,47951,49610,48421,51036,52598,52931,54461,54930,57749,55193,56556,58269,57629,61174,61588,61039,63999,62805,66181,64646,68833,67627,67383,68994,68829,73092,71176,72097,73700,75559,76036,75950,75547,111646,76447,
437,1727,2616,15921,3889,3533,7793,4605,5306,6089,6874,9909,14170,9851,10479,10157,10914,11598,12353,13111,13739,14526,27159,16030,18044,17556,18384,19160,19809,20435,21296,21310,23035,23158,23977,24876,25648,26193,27114,28079,28918,29418,30397,30698,31113,32697,33453,33712,35378,35355,35574,37174,70730,38752,40089,40451,41246,42139,42058,43278,43810,47170,45452,45304,48235,48705,49592,49598,50727,52607,53184,55790,54491,90931,55667,56929,58427,58478,64713,62112,61635,64075,62199,65469,64930,66608,67272,67202,68269,68763,70770,71408,84399,72944,73952,76710,75753,75465,76876,76038,
452,1469,2791,2296,3787,3493,7817,4714,5505,6125,6532,14524,14054,9589,28038,9960,10959,11721,12190,13076,13947,14308,28035,16129,30799,17503,18229,19007,19825,20375,21306,21839,22931,23226,24063,24738,25627,26780,27112,27964,29402,29423,30479,30886,31302,31888,33761,33679,34492,34882,36082,37060,38277,39353,41892,40785,41212,44620,42669,43191,44069,44650,44931,45433,47735,49650,49699,49029,51086,52518,52342,54506,54517,55042,55773,56258,58544,57819,61352,62253,61101,64079,62728,65746,65169,65817,67500,67461,67913,68529,70308,71214,70740,72953,74102,75994,75993,74913,76915,75577,
496,1676,2807,2203,3895,3438,8044,4674,5386,6100,6815,12293,14226,9631,9641,9894,11199,11507,12160,12977,14070,19234,27953,15930,16556,17295,71063,18916,19617,20222,21238,21729,22685,23119,23728,24583,25241,26317,27300,27970,29207,29516,30087,30498,31324,32597,33578,34371,34887,35839,35264,36899,38267,38715,39693,40519,40855,74196,42272,43536,43322,44449,45790,45520,47395,47596,49728,49197,51350,56422,52484,54662,59211,69205,56436,56765,57954,58505,61889,62126,61414,66721,87504,65823,66247,66969,66838,67760,68286,68362,69820,71234,70696,73046,73806,76848,77424,75266,76229,75480,
