Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
380,395,786,1026,1593,1716,1990,2275,2479,3036,3242,3635,4367,4369,6184,5276,5339,5521,7716,7053,6940,24844,7448,7913,8321,8247,29033,8979,9709,22618,10329,38090,10946,11337,11543,11990,12578,12656,13420,13291,13934,14502,14526,14963,16963,15188,16194,16105,16379,17039,17097,17273,17363,19524,18298,18983,18480,19585,20341,20428,20564,21518,21614,21739,21894,22881,23322,23086,24464,24299,25356,25329,27416,25617,26793,27023,27146,28528,29136,28746,30667,30126,30279,31386,30877,31209,30557,31601,33282,33377,31964,33391,33743,32547,34450,34903,34376,35184,35896,34870,
181,412,894,998,1335,1635,19302,2324,2513,2748,2898,3805,4851,5014,5007,18589,23933,24036,19048,6549,27175,7352,7189,7513,7564,8298,9322,8682,9196,9613,10133,11355,36310,10875,11108,11621,11638,12104,12103,12905,13246,13951,13689,13730,39478,14604,14890,15297,16508,16367,16987,16601,17626,16684,17778,19042,18717,18706,18413,19514,19423,19985,20829,20996,21068,21826,40826,43081,23062,23701,42106,23961,25039,24406,25371,26537,25821,26829,27629,26725,27965,27933,28744,29256,47587,29593,47948,30360,30918,31506,30471,33037,31754,65333,33163,33247,32817,33284,34320,33099,
258,448,819,970,1382,1710,1928,2690,2502,21182,21682,3619,4474,4502,4936,4796,5533,6019,24509,6379,6755,7361,7112,7319,8100,8051,8980,8721,9379,28543,9705,10903,23369,10893,11305,11653,11978,29440,12388,12645,13015,15785,13792,14294,15524,14326,33575,15427,15816,34192,34772,35159,35219,16778,36956,50269,18189,37241,38451,51820,51800,53192,51696,20197,40959,21508,38408,39089,56301,23266,39450,42485,23779,55906,58884,25739,26039,26478,26807,27302,27306,28335,27841,28566,44870,29798,45260,30713,30980,30410,30370,32118,31527,31536,33196,33248,34028,32590,34256,33353,
177,377,901,983,1456,1662,1879,2276,2422,2878,3643,3567,4596,4143,4932,23402,5427,5702,6326,6422,6878,7809,7319,7317,8093,8391,8910,8520,28446,21934,27468,22772,41019,10741,11084,31398,30455,12964,12282,45067,32031,35361,13748,13676,15451,14441,28672,15111,15239,28782,17292,30384,17955,48904,20663,17999,50054,32355,19930,19934,19142,19899,20010,20155,34801,21507,22661,22890,41542,22362,23073,24178,24791,24206,24620,30874,26408,26542,26583,27044,27527,29096,29199,28262,28562,28890,29739,30204,29755,30291,29922,31615,31226,30842,31725,31863,33122,32775,34075,32262,
239,406,921,992,1357,1585,2296,2199,2573,3350,4214,3661,4467,4310,4618,5031,5490,5810,6226,6301,6782,20935,7098,7313,9288,30589,8840,28415,22111,9213,10596,9932,10518,10655,11380,25407,25211,24655,12359,12582,26081,14323,13166,35001,14565,14555,15274,14657,15297,15573,30646,16300,30875,16015,30497,17723,18180,19065,19178,19241,20033,20014,20216,20261,20701,21971,22274,22621,23634,23133,23543,24996,24544,23762,25312,26609,25332,26289,27149,29882,26875,28325,27705,27804,27820,29699,29179,29808,30742,33813,28505,31131,32477,30845,32160,32886,32694,33341,33492,32489,
198,413,857,791,1390,1688,2378,2435,2466,3453,3869,3476,4547,4307,4745,5022,5226,5760,6171,6544,7046,7256,31940,7219,8452,24495,8714,8590,8620,9102,10297,10006,9865,10339,10645,11056,11529,11660,11802,12687,12569,13909,13616,15447,28374,14166,14370,15361,15816,15647,15793,16309,16460,16345,17312,17767,18094,18128,19789,18598,18671,19875,20098,20810,20318,22194,21049,22877,38028,22440,23786,41949,24066,24368,23963,25672,25452,25773,26025,26884,27579,28897,28558,28710,28329,31376,28996,29995,32468,30003,32767,30971,31987,30486,32389,33361,32524,33003,33880,32822,
178,408,830,937,1242,1639,2075,2457,2496,3294,3835,3652,16697,4391,4571,5141,5451,5929,6327,6272,6720,6525,7619,25318,8398,8204,8791,8808,8461,8957,10403,9901,10435,10309,10858,10953,11682,11431,11926,12356,13282,14440,13852,14764,13580,13887,14343,14983,15708,15605,15978,16117,16689,16228,17332,17979,17827,18257,19478,18341,19409,19234,19554,20359,20030,21202,22102,23360,22897,23470,22483,23381,24160,23171,24900,25967,25473,28051,25954,26557,27341,27501,31336,28426,27405,29310,28930,30388,30052,30144,30247,31297,30717,33601,31559,32690,33067,33482,31788,32465,
168,429,782,19340,1341,1634,1986,2373,20662,3459,3819,3428,4024,4457,4628,5002,18691,18682,5881,6417,6821,6619,7501,19892,9049,8362,24787,8462,8462,9165,10171,9494,10369,10341,10945,10928,11403,11906,11796,12621,12650,30638,13410,26084,14310,13646,14484,14716,15784,15843,16132,16209,16340,16934,16546,17129,17374,18464,19697,18808,19234,19434,19364,19827,19967,21070,21277,22315,22959,22690,22994,23479,24000,24089,24654,25868,26490,38736,27142,26453,27427,27074,28107,28304,27501,29485,28930,30870,29797,30558,28475,32071,30948,30605,31252,32037,32776,32747,33714,33957,
176,371,729,1063,1351,1549,2174,2322,2728,3368,3778,3743,4070,4195,4803,4949,4776,5487,6033,6195,6808,6494,7606,7117,7283,7890,8228,8479,8992,9096,10453,10012,10128,10787,10564,32181,11700,11729,11680,12368,12890,12936,13011,13843,13965,14122,14459,14690,15192,15368,16159,15843,16469,16916,16946,20280,18252,18209,22536,18940,20319,20055,19934,20986,19761,24019,22212,22126,22497,22971,23148,23206,24092,23228,25230,24279,26312,24700,27013,26761,27036,27594,27897,29071,27179,30355,28685,30587,29628,29795,29423,31419,31106,30737,32473,32986,33049,33290,35857,31953,
174,422,925,1071,1312,1603,2179,2367,2745,3373,3986,3806,4220,5134,4454,18388,5061,5299,6010,6174,7061,6649,7805,7211,7376,7933,7954,8207,8603,9043,9977,10121,10284,10099,10583,11928,11733,11846,12192,12339,12709,12919,13131,13869,13836,14409,14323,15106,14931,15704,15613,16150,16201,16874,17063,17869,17818,18585,34800,18869,19440,19842,20377,20714,19834,21344,24146,22890,22424,22991,23612,24152,23473,24218,26188,25312,25951,23937,26481,26847,27067,27867,28052,27750,28713,29322,28685,29876,30353,30273,30145,31973,29938,31396,32490,31858,32747,34080,34424,33675,
