Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
346,678,1040,1341,1753,2120,2349,2589,3006,3392,4132,4228,22067,5588,6428,26735,23793,6830,7957,25606,25294,25783,8140,8858,10500,9456,9997,9927,10500,10667,11529,36577,13097,13678,13238,32751,32879,33353,15516,14864,34376,37415,15854,16913,16945,17917,17971,48441,18249,19399,19471,44243,47470,20589,22447,22139,21509,23031,22704,23289,23614,23836,47393,24538,25335,25020,25783,50599,26855,27085,27635,28138,29965,29632,29501,30901,31299,31808,31611,32259,65697,33777,33506,34251,33720,35179,34843,35169,35595,35925,37568,37581,38324,36893,39148,39365,40120,60415,43519,40815,
240,593,920,1239,1570,1990,22698,20163,2954,3472,3793,22280,4722,5328,25566,6168,6376,6692,6552,7601,7760,8496,8039,8597,8736,9179,9508,9577,9839,10475,10730,12390,12465,13017,12841,14337,13981,14787,15820,15125,16225,16934,15906,16414,16548,17652,17476,17525,17955,36867,19812,23728,38047,20713,22532,21469,42278,44741,42005,40576,41392,45774,25913,45689,44674,46800,58002,30158,59654,59034,60198,28056,28356,94522,61167,65038,65842,63725,63373,31135,33825,65309,65306,65875,64777,67048,68322,67228,58567,68861,36874,37421,69363,57247,70687,61170,39161,52419,42136,40738,
256,591,879,1228,18283,1888,2242,2514,21262,3650,3792,4093,5178,5164,5507,5879,5824,6629,6223,7170,7705,10364,7837,7969,8411,8987,9210,9905,9875,10617,11405,12321,12480,12892,12556,27534,28003,14749,15165,33330,29319,16001,15972,15794,35145,55489,38802,18259,18340,20244,19087,21625,19290,59000,25091,42605,37920,61937,35082,36126,35229,40583,42097,41816,24961,39472,25468,44540,26078,26730,27240,27451,28036,30433,29354,35488,31583,30801,30725,30416,49172,32603,33360,32993,32875,34826,34046,34174,49148,35679,36694,36892,36788,36631,38187,45130,39066,40048,54687,41279,
257,519,791,1043,1751,20108,2395,3002,3111,3950,3656,4588,4870,5113,5194,5543,6091,6208,6291,20050,7408,8284,7641,8104,8874,9241,9409,9300,10211,10705,29476,25346,13243,13307,12489,12546,13310,27339,15252,27948,14872,28847,15576,16004,29755,16747,18735,17381,18144,22861,18752,22029,19353,20479,22358,38030,21236,23519,22118,22106,22999,23532,23737,24308,24732,25000,25520,26102,26145,26372,27224,27794,27410,30514,29439,30686,31738,30691,31065,30884,31335,32081,32884,33186,32687,34285,33834,34246,34531,36135,36442,37072,37937,36333,38454,56068,39653,39888,39412,40321,
255,482,806,1147,1576,2004,2712,3002,3622,3765,17284,4644,4957,5318,4991,5465,5865,6562,6510,6594,7254,8377,26950,28137,8243,27891,28267,9361,29093,10215,24706,10884,12752,13005,12916,12567,13681,13211,15347,14545,14716,15483,15829,16178,16750,37194,19075,17456,18295,20311,18879,22133,19557,19594,38367,20855,21352,40755,22078,22317,23228,23291,24081,23842,24846,24344,25180,25861,26229,26622,28085,28136,27692,30305,29001,30923,31194,30400,30464,31520,31427,34878,33080,33283,32532,34032,33549,34048,34505,36169,36281,36289,37212,36626,38135,38079,39210,39764,39629,76807,
245,494,789,1228,1921,1896,2558,2987,3309,3718,3438,4501,4998,5198,5042,21565,18392,6308,6154,24640,7418,7923,20741,20677,8265,10068,23092,28120,23716,10252,10833,11047,12301,12599,12665,12862,13272,13477,14720,14203,14648,15117,15548,16026,16106,18669,18510,17426,18475,31846,18943,21541,19231,20480,20132,20473,21046,21840,21521,22408,23063,23368,23584,23341,25045,24938,26010,25649,26251,26425,27126,27916,28174,46298,28690,30978,30611,30976,30275,30844,31268,32589,32952,33441,33094,34358,33362,34122,34815,36263,36821,36902,36895,36472,38449,38221,39415,39749,40017,40254,
245,501,781,19626,1768,2138,2310,3004,3343,3894,3426,4608,5048,4611,5385,4958,5339,6337,6060,6967,7419,20680,8120,8137,8593,9522,9135,23754,9650,10325,10833,11153,12217,12959,12278,12718,13066,13355,15091,14533,14926,15476,15290,16036,16449,34251,18672,17623,18510,18316,19150,22002,19472,20116,20290,20710,20521,21869,21967,22056,22744,22899,23807,23483,24993,24835,25166,25751,59667,26560,27223,27881,27266,28227,28760,30784,67849,30428,30607,30977,31507,32568,33130,33260,32878,34205,33887,34681,35132,36320,36006,36521,36939,37086,37913,51277,39378,39666,40146,39852,
200,531,780,1235,1723,2039,2437,2939,3247,3780,22113,4294,5275,4657,5024,4915,5483,6361,6519,7234,20188,28039,7673,7852,8558,25050,9196,9653,9629,10127,10370,10976,12339,13006,12630,13165,13391,14556,14985,14386,14857,15052,15686,15880,16568,16729,18493,17051,18072,18148,18503,22855,19491,19552,20028,20465,20037,21385,22345,22346,22585,23074,23856,24274,24589,24327,25061,25733,26419,26699,27081,27556,28178,28202,29106,30756,31130,30942,30202,30905,31212,32101,33069,33102,54850,34580,70913,34335,34568,35913,36474,36678,36732,36872,37938,37818,42320,80494,39730,39964,
255,547,19236,1151,1575,2052,2509,2851,3221,4076,4161,4415,4652,4687,4930,5182,5456,6217,6007,6889,6661,9570,7664,8155,8365,8934,9234,9356,10021,10264,10448,11139,11592,12336,12893,12723,13212,37649,14909,14655,14213,14990,15764,16035,16293,16999,18522,16989,18111,17980,18612,21597,19552,20281,19956,20492,44096,21769,21892,22554,22777,23051,23706,23707,24190,24721,24930,25614,26458,26303,27251,27535,28040,28603,28521,30672,30903,31133,30532,30725,31014,32792,32649,33218,46003,34970,35683,33988,35080,36078,36661,36923,37150,36854,38133,37148,39455,39554,40392,40205,
202,537,947,1128,1721,2129,2253,3219,3561,4199,4351,18274,4520,4562,4854,5250,5138,6274,6081,7105,6724,8286,7635,7923,8312,8673,9040,9445,9950,10126,10542,11027,12062,12472,12564,12264,12927,17006,14504,14311,14439,14978,15467,15817,16366,16967,18492,17457,18059,18249,18348,21996,19218,19768,19962,20512,58967,21259,21884,22176,22645,23363,23425,24231,24478,24828,25037,25343,26085,25761,27182,28110,27837,28284,28448,31190,31035,31009,30020,30785,32376,32053,32824,33472,32890,34616,73942,34439,34709,35499,36881,36794,36912,36882,38448,37132,39175,65115,39497,39701,
