Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000,
277,517,808,1110,1766,2019,2361,2663,3129,3776,4179,4707,5876,6793,23648,24178,24955,25281,9183,10173,8277,29420,10355,10491,11829,11816,12155,12443,39181,14594,33534,35026,33826,34416,15935,16474,36068,35989,19790,19413,38938,20384,20261,21668,22143,22206,21111,23841,23196,25956,55142,28007,27023,55362,27515,28895,28664,29748,28913,31431,52368,31455,32087,36639,34252,61431,34328,34368,34610,35754,37484,36245,68745,36978,38106,38798,63852,43158,43580,44697,42525,44089,42545,43552,43915,45261,44045,47509,65995,67664,67075,54364,49203,68025,67702,70648,49949,69237,69523,54037,
235,400,725,1222,1581,1724,20006,2915,3105,21926,22097,23278,5720,6782,6539,7610,7281,7926,7623,8423,9633,11763,10015,10702,10569,12365,13028,12102,14404,14717,15444,16857,14963,17378,15316,16480,17829,18776,20681,20387,33006,20387,20357,21904,42887,53526,42954,23982,24384,51270,25820,46634,60125,29282,279772,61394,60192,62427,60867,30576,40915,63036,60831,69030,35806,71819,66377,55161,35803,68985,36728,57172,53483,70017,69206,51413,81250,79466,78190,44632,76875,81219,75497,76405,79508,58261,77588,79346,58401,62703,64910,50845,49071,63690,64559,69188,52060,65558,66693,87276,
211,380,773,1071,1822,1942,2463,21236,21469,4150,4925,5275,5950,6812,6546,7148,7896,7924,7462,9101,9956,9887,10182,10500,11065,12237,12334,12620,14114,14779,28545,30473,45489,28425,15563,16401,18580,18609,19571,19928,19836,41982,20281,20723,23385,22022,39408,23818,22327,36857,36451,41111,27387,34423,26804,27578,27093,29887,29017,30554,50681,31375,30846,37770,34243,50213,34775,36566,34479,35809,36535,51215,37426,37888,37192,63776,62855,44923,41804,43614,42938,43112,42476,44895,44121,44503,44544,44163,45736,51860,49626,49255,50529,49108,49677,54369,51097,51509,51349,52957,
216,499,859,1020,1765,20125,3330,3129,4022,4818,5680,5834,5831,6070,6532,7260,7112,7709,7896,8988,9400,10966,9792,10349,11820,12568,31334,32099,28064,14314,13721,15837,16612,15945,15858,17199,30904,16341,20142,21063,19797,38224,20351,21272,22218,22146,22529,24668,23507,24231,24026,27413,27837,40921,27094,27842,27572,29561,29630,31803,29603,30079,29965,37888,34570,33720,35028,52821,35484,35167,36237,37213,37065,37198,36794,39313,46693,45970,43117,44519,43547,42017,43137,43455,72166,45086,70653,47081,45954,53641,49381,50657,49691,48607,50288,52823,52220,51904,51963,53113,
207,508,725,1030,1820,2079,3056,3872,4235,5097,5144,5815,5743,5351,6065,19608,19788,20269,8217,8629,10062,9949,28749,29533,11907,12078,26317,25982,13174,14582,13908,15920,16072,15808,16439,16671,17697,17129,20613,19426,19911,20619,20529,21755,22244,22113,22421,23393,23235,24665,23388,27516,27387,26655,27654,28461,28812,29797,29921,29150,31712,30330,30740,37446,34586,34807,34776,35427,35923,35962,37287,36776,37225,38749,39005,38932,47071,44603,42421,43184,44604,44548,43329,44072,57995,43406,62288,46346,46475,79121,48315,51055,52495,50707,48875,53607,50767,55081,51745,54808,
168,466,680,1101,1878,2209,3004,3727,3964,4864,4947,5960,19067,5372,6523,6833,6566,7515,7260,8984,9831,12110,23817,24248,11402,12292,11983,12536,13287,14386,14021,18784,16677,15404,15965,16127,16458,17614,20198,21055,20028,20545,20331,20874,22796,22373,21815,23993,23008,24240,23890,28172,50556,27297,27865,27905,29266,29164,29526,31495,31200,30851,32279,37140,33912,34274,34464,35283,35207,34775,36834,36588,35383,38121,37085,40920,47735,44064,42649,43811,42363,42333,42510,44154,44033,43645,46914,46385,46603,49154,50171,50056,50324,49833,50262,52510,51288,82227,53492,53349,
198,490,748,19672,2184,2286,3265,3762,4478,4851,5338,5491,4994,5409,6142,6879,6680,7652,7300,8337,9976,8916,9728,10081,11794,12318,12196,11889,13500,14448,14003,35449,17546,15984,15254,16285,17410,16600,19337,19560,20153,21213,20565,21203,23302,22513,21372,23641,23116,23210,24892,27767,29912,27842,27793,28161,28053,29834,29705,29989,29926,30923,31614,37709,34753,34382,34684,35025,35638,35818,36901,37328,37022,39042,37891,39386,48236,44584,41868,44698,44359,44300,42399,43337,44179,65607,45906,45821,45627,50711,49740,51150,50924,49434,49213,54447,49309,51411,52514,51505,
198,403,657,1211,1978,2380,3189,9085,4157,4862,4504,18159,23758,5451,6377,6624,7024,7355,7887,9437,23867,9154,9537,10668,30611,12535,12402,12786,13362,13598,14066,30583,16319,15700,15648,16586,16868,17098,19919,19317,19505,20828,19732,21236,21718,22571,22606,24414,23031,23220,23189,28502,40523,27515,28000,29894,26879,30140,29349,30078,59470,30644,30494,36767,34832,57762,33588,34166,34897,35589,36539,37697,36459,39148,38944,38237,46363,45518,41965,44642,43051,44319,44325,43956,43755,59084,44884,46195,45687,50984,49231,50442,51295,50138,49634,52662,50148,53166,52908,52723,
193,503,758,1202,1899,2391,3026,4203,3808,17753,17426,4391,6678,5274,6070,6895,6618,7584,7576,8762,8790,9949,10300,11124,10377,11711,16842,12426,13179,14726,35096,16701,17385,15614,16065,16613,17433,17056,20073,41177,35220,19899,20816,20622,23142,22221,22432,23871,22957,23477,23917,26300,26549,28512,26890,28671,28503,29321,28306,29880,29900,29550,30960,36180,34417,48487,34921,35238,35653,34911,35935,37315,36272,37294,36895,40164,49359,43102,42081,44558,43246,43853,42821,44551,45270,45249,46344,46357,46853,49291,49652,56999,48375,48701,50388,53241,51349,50858,52032,52134,
216,481,638,1194,1698,2362,3084,3843,3570,4048,3959,4295,7291,5566,6471,6965,6719,7822,7723,9087,8646,11077,10051,10897,10715,12002,12186,12730,13340,13996,14424,15555,17483,15435,15571,16737,17373,16843,83547,33196,33633,20751,20611,21383,22807,22680,22923,24000,22911,23306,24612,27107,27771,28177,27929,28565,47640,29798,29879,29299,29976,29801,30228,37467,37395,34176,33528,34962,36686,37977,36632,37588,37481,36369,38801,64795,50922,44380,43627,43959,42655,43266,44035,44651,43523,44483,44787,46032,47442,48635,49763,49402,50901,47652,49828,54051,50094,50177,51491,52961,
