Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000
700,1400,3800,5100,6300,12300,15700,14000,16700,25400,35700,37100,41100,37500,49500,52700,60800,72100,79700,71000,85100,108800,115100,100100,135600,144000,122100,162600,140900,165900,196500,214000,186000,196000,250700,243000,227500,267100,259500,280700,359800,289100,486400,356300,367300,359200,449300,458800,484200,459200,541900,438600,555800,542800,690200,535500,690400,660400,669500,634600,587700,732800,716800,694000,826600,844600,694400,812700,796400,1.08E+06,813500,1.01E+06,913800,975900,885600,992200,1.00E+06,988600,1.00E+06,1.03E+06,1.16E+06,1.97E+06,1.31E+06,1.64E+06,1.19E+06,1.37E+06,1.37E+06,1.30E+06,1.39E+06,1.27E+06,1.29E+06,1.30E+06,1.50E+06,1.47E+06,1.44E+06,1.59E+06,1.45E+06,1.49E+06,1.74E+06,1.61E+06
500,1400,3400,4600,6000,12700,14700,13600,17100,24700,35500,36000,41300,87800,62400,46600,77900,72500,79800,70900,85000,103200,112000,100700,137500,169500,137900,163100,140000,161300,196600,202000,185100,198700,250300,210800,224300,246900,258400,282200,297600,372800,444700,313200,329900,337600,373700,413800,396300,419500,492700,457700,538000,597400,498400,491400,839800,704500,585800,566900,585000,708900,631500,639200,772800,679700,705700,714700,733600,772400,868200,820300,829400,851900,864600,891400,908500,945500,971300,1.11E+06,1.01E+06,1.87E+06,1.57E+06,1.30E+06,1.36E+06,1.31E+06,1.45E+06,1.25E+06,1.26E+06,1.37E+06,1.27E+06,1.40E+06,1.37E+06,1.41E+06,2.65E+06,1.43E+06,1.48E+06,2.09E+06,1.68E+06,1.53E+06
400,1400,3400,4800,6400,8100,15400,23900,16500,24400,35200,35700,39000,76500,55300,67900,110300,71300,79600,71000,83800,103500,111800,100400,142700,142700,121800,162700,139200,150000,199200,172900,192500,217000,248800,210400,223800,234800,372800,300900,273900,390200,358500,312600,354300,337300,381100,363000,381800,422300,414600,431300,506200,470800,476600,487400,556200,521200,606900,554700,569400,801400,679500,642300,729500,691100,697000,752400,733100,751000,785100,824500,814200,856100,911800,897500,1.00E+06,924700,961500,1.04E+06,1.02E+06,1.82E+06,1.40E+06,1.10E+06,1.62E+06,1.26E+06,1.26E+06,1.21E+06,1.21E+06,1.30E+06,1.26E+06,1.32E+06,1.31E+06,1.43E+06,1.79E+06,1.60E+06,1.79E+06,1.57E+06,1.51E+06,1.76E+06
400,1200,3500,5000,6000,8100,15700,25100,15800,24500,35900,35500,38900,55300,54000,69200,51500,71300,79600,70400,86000,134200,112900,100700,160900,142200,121500,162600,139300,158400,200300,172600,184700,188800,252300,211800,223600,232800,557900,260200,324000,304000,310500,351200,331500,362800,409000,365300,389500,410900,411600,440100,453700,454700,470800,508100,535900,536700,536400,565100,583000,595000,695500,628300,875600,688700,684900,702700,726500,747300,793300,819400,807400,1.01E+06,1.09E+06,882300,949300,916800,957500,1.16E+06,1.03E+06,1.88E+06,1.24E+06,1.10E+06,1.15E+06,1.15E+06,1.17E+06,1.41E+06,1.33E+06,1.24E+06,1.26E+06,1.29E+06,1.32E+06,1.37E+06,1.68E+06,1.42E+06,1.67E+06,1.57E+06,1.61E+06,1.78E+06
500,1400,3500,4500,5500,8200,15200,13400,16500,24500,35300,36000,38100,48000,53600,46200,51800,81800,79300,70000,87400,103500,113200,100300,148900,127700,122200,162300,139400,150000,201200,172800,182000,188400,251300,263800,225400,274600,678400,259100,272700,379200,333900,333900,393000,340800,354400,378100,378000,486700,413000,428000,439600,463400,466300,641600,526200,551100,619900,552400,804200,712800,619400,646400,706600,664200,689100,703100,833400,744700,772800,799600,812700,885400,957900,1.02E+06,1.02E+06,916900,961500,1.00E+06,1.00E+06,1.21E+06,1.24E+06,1.51E+06,1.25E+06,1.25E+06,1.32E+06,1.37E+06,1.24E+06,1.45E+06,1.47E+06,1.50E+06,1.41E+06,1.59E+06,2.41E+06,1.41E+06,1.44E+06,1.60E+06,1.61E+06,1.75E+06
500,1200,3400,4800,5900,8300,15100,13200,16300,24700,35200,36400,37400,39500,54500,46000,67900,203100,79600,70200,110400,103100,113600,108600,105800,113500,122300,163300,167700,149200,197300,180900,178800,190000,205400,273500,242500,247800,388100,258500,274000,412300,311000,461500,322300,565300,359300,403400,378800,605500,411000,551800,461200,468400,481600,616000,515500,529700,649600,571700,571000,657300,724400,630700,707000,747000,810700,823200,833500,749300,781200,937900,813600,1.09E+06,868700,887200,1.10E+06,1.12E+06,1.24E+06,1.11E+06,1.01E+06,1.21E+06,1.15E+06,1.09E+06,1.12E+06,1.39E+06,1.26E+06,1.53E+06,1.42E+06,1.24E+06,1.28E+06,1.28E+06,1.73E+06,1.36E+06,1.95E+06,1.40E+06,1.42E+06,1.46E+06,2.01E+06,1.51E+06
500,1300,3000,5100,6100,7900,15300,13400,16400,24700,35200,35800,37200,36800,54200,46000,51600,98500,79100,70700,86500,83600,111500,98200,116500,114100,122400,148100,149200,148600,196500,168100,177900,187500,198300,234000,228900,234800,325700,392700,279000,458000,298200,461500,321100,590000,352900,389900,386200,665500,411300,465000,465600,461100,648600,502700,533700,515400,555100,558300,720100,592100,610100,720700,672700,684800,699000,741300,734800,776700,769600,817700,929500,939900,1.11E+06,956900,1.06E+06,984600,1.08E+06,993800,1.02E+06,1.24E+06,1.06E+06,1.09E+06,1.11E+06,1.21E+06,1.41E+06,1.26E+06,1.25E+06,1.24E+06,1.26E+06,1.29E+06,1.46E+06,1.35E+06,1.64E+06,1.41E+06,1.71E+06,1.46E+06,1.64E+06,1.85E+06
400,1200,3200,4900,5700,8000,15000,13100,16300,24300,35700,36000,36800,36100,60700,68600,51500,79500,79700,70700,111300,83200,128800,96800,105900,114100,122200,130700,139000,148400,161700,238600,183900,197200,198600,211800,244000,234200,255500,319000,272700,406000,316300,312100,335400,369300,355300,366300,378300,646000,409400,445800,438200,454600,570200,516000,500400,522400,542300,631500,626600,599100,628300,1.02E+06,776300,689800,693400,803000,908900,927300,848200,989400,999600,847800,940600,996500,910500,955200,970200,978200,1.01E+06,1.29E+06,1.08E+06,1.10E+06,1.20E+06,1.20E+06,1.36E+06,1.19E+06,1.21E+06,1.35E+06,1.27E+06,1.29E+06,1.33E+06,1.35E+06,2.19E+06,1.92E+06,1.44E+06,1.45E+06,1.53E+06,1.55E+06
400,1200,2700,4700,5900,8100,12400,12900,16400,24300,35700,35300,36900,36400,45500,46000,51100,71700,89300,69900,90000,82200,112800,97300,105700,113400,122100,138500,139900,148700,158300,216100,179500,222000,203300,216400,226000,235200,245700,319700,273000,417800,297700,323000,322600,347200,363200,366800,386000,510000,439300,434900,439700,451100,468000,487800,504200,515400,540700,591800,581900,593900,678800,761200,854000,983900,915100,774600,745000,850500,964600,803900,821300,844700,861700,1.09E+06,906100,930500,1.13E+06,987900,995500,1.07E+06,1.07E+06,1.10E+06,1.12E+06,1.21E+06,1.21E+06,1.19E+06,1.23E+06,1.26E+06,1.27E+06,1.30E+06,1.33E+06,1.36E+06,1.54E+06,1.88E+06,1.44E+06,1.46E+06,1.60E+06,1.53E+06
400,1300,6300,4900,5900,8000,12000,13500,16500,24400,36000,36800,40600,36400,45400,45400,56600,69500,63200,70200,86300,82200,91400,97600,106100,121200,127000,138700,146700,148600,157600,215700,179600,235100,202700,212400,220600,233000,260000,280100,272700,419800,319000,313000,321900,336100,355300,369000,398900,444300,430100,425100,444100,463000,620000,496000,504400,578100,591600,597800,678400,700200,735600,640300,786600,687400,712200,716300,731900,881100,809500,799200,816300,836400,853600,880700,911900,924400,985900,1.02E+06,1.32E+06,1.48E+06,1.07E+06,1.09E+06,1.12E+06,1.14E+06,1.16E+06,1.19E+06,1.26E+06,1.25E+06,1.27E+06,1.29E+06,1.33E+06,1.57E+06,1.41E+06,1.41E+06,1.53E+06,1.46E+06,1.84E+06,1.54E+06
