Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000
5600,7800,11900,17100,26200,38600,28700,43300,46000,54900,62700,45300,47500,76500,81200,88700,59100,63600,65500,82700,128900,77300,122400,99500,87700,84700,110800,115200,99800,128600,128200,105000,123500,118100,121600,176800,156000,166000,174600,169400,155500,158700,164500,183500,171200,204200,160600,201600,224700,189800,172600,179800,192900,229200,183800,206900,228500,236000,219300,226100,239700,261000,270600,211700,225100,228300,276500,302400,291300,300300,315100,248100,275400,246300,259700,280200,273600,337900,266100,279700,279000,333900,289100,485300,378800,332200,356000,377700,366300,314200,415100,403800,419900,396500,560000,318800,394100,583700,340900,391600
3400,5500,8500,13300,21300,31500,84100,30200,25300,50800,57800,38000,36400,57400,64600,84700,48400,68500,53700,83100,86200,66900,110900,104700,72500,78100,98600,94400,85300,134500,112700,102500,109500,111500,103600,152600,154500,122400,132000,153900,175400,134600,150300,197300,134000,226300,143200,163000,149000,162200,159500,167100,159300,179600,164400,186300,178100,222800,179900,252900,189700,336800,261800,194600,198400,236500,278000,259500,268900,269000,282700,233600,242400,258600,246600,233400,246200,314000,242000,244700,256200,295500,256600,443600,426700,266400,286500,361800,339100,296400,292300,389600,296900,355500,531700,315200,305300,525800,332500,325200
2800,5800,8300,35300,20400,25900,55900,21500,24400,75600,30800,37100,40800,64000,63300,75200,48300,64300,52900,73500,84500,63400,112600,70600,72500,74100,98700,80100,86700,97500,113400,109200,104700,99800,101400,126500,139000,115100,131800,151200,183500,127800,139200,145900,133200,196700,140600,141100,146000,152700,153300,154500,158300,168100,163600,169300,190700,231000,180200,228000,187400,286000,240200,193200,198100,250000,205800,259700,265200,278900,217300,221300,242500,228400,230200,231300,265000,277000,241100,241900,280200,411900,261500,433700,330700,279300,287400,385000,282300,291800,283700,325200,296400,307100,446300,299900,302100,512700,317700,344100
2400,5800,8100,9700,20100,24900,31700,20700,24500,57300,30400,36000,35900,52000,64200,119600,48100,71800,53800,69400,61600,63200,112900,77600,71300,74000,97300,79900,84300,87500,90300,92500,102600,98500,101400,104300,145600,131100,185300,149900,223000,126500,138700,165400,144400,196900,141600,140500,199700,151800,175200,161500,164700,161800,164400,170300,197500,177800,185100,258600,202300,225300,236300,210700,196100,242700,204600,203400,261800,267700,217300,217200,249300,226700,228500,229400,261300,243300,244500,274000,301800,316900,292200,444400,273600,270900,271600,385600,305500,304800,327400,283700,293600,295700,307700,300600,308100,483900,307900,410000
2400,5600,8400,27700,21800,24500,26900,20700,23600,50500,29700,35800,39900,52700,62700,61200,47500,62700,53100,67700,59200,70500,112600,91800,80600,79900,96100,83800,83400,86400,88600,91400,94100,98500,100800,129600,137400,175100,266000,152400,233500,181800,138500,130200,137700,176600,150900,141100,234300,151200,155600,156100,158800,160800,167000,167300,173300,177700,177700,216300,206400,195600,214300,192300,194200,202200,203000,201200,213900,231500,215200,219000,296500,225500,242100,234100,261400,245900,267400,245200,249300,263900,287700,445800,266300,263500,265900,306300,279900,286900,323400,303700,305500,294700,305600,300500,295000,482400,308900,381800
2500,4800,8300,10000,19600,32700,29300,43000,24100,49000,32400,35600,35700,51200,64300,43500,47600,61600,52700,68000,64100,64500,112200,68800,73000,79400,96500,79800,90300,100000,89300,91500,94500,97600,101500,113100,132800,188200,153500,149800,197300,180400,135800,136100,133200,140600,140100,152400,212800,158400,152600,154000,156600,159700,163200,168300,172400,175800,178200,195000,194000,191900,200600,242100,223300,198900,205400,221800,271900,210200,214900,226700,347200,234500,224600,225900,237600,241500,260800,243500,265800,252500,276900,433900,299000,265100,369000,271700,278200,280800,282800,288500,329300,302900,332400,290100,296300,475800,304500,309400
2600,6000,8000,9900,19000,16600,29700,20800,23900,47400,29400,35300,35100,49200,63400,43900,47700,62300,53100,87500,59000,63300,112400,67800,70900,87900,95100,78800,108500,121800,89300,90200,95900,98200,101300,126400,107000,173400,125000,148600,135300,135100,127900,130600,132600,139500,139200,152300,190900,149800,152000,152700,168500,157000,162000,170500,171400,174600,177400,182800,187900,186900,191300,256600,197000,197900,198400,201800,226200,211200,265100,213100,245500,220500,225200,225100,235000,258700,236700,242400,250300,251700,277200,505000,266800,268600,283100,276900,293000,279900,283200,285300,367300,290500,301200,292300,301400,539200,300500,308800
2200,4600,8000,9500,19200,15300,33700,28200,24000,49000,29600,45600,35000,48900,63100,43400,60500,79300,52900,71400,59200,61700,116400,95100,71700,74300,95000,78500,84300,96100,89000,90600,95300,98600,100700,105900,114300,111900,116300,123700,121300,164900,147600,130500,130900,142500,140300,141000,159500,149600,150900,151700,157600,163900,162100,165900,172000,175200,174600,177100,183400,186600,191700,191900,197900,196700,197300,199500,207200,447100,275400,214800,224200,220400,224400,224900,233700,281500,237500,258100,252500,269400,264300,648000,263600,263100,262200,294100,285700,303200,286100,283100,356500,286500,305200,431700,300200,486400,300500,317900
2300,4500,7800,9600,19500,15300,32900,30200,24000,69000,29200,39100,34900,48800,64300,60500,49800,64100,52900,68500,69100,62300,124800,103900,71200,72700,123300,79200,83500,87000,88600,90600,94700,97700,122800,121200,111100,115400,128200,117100,121600,180700,135800,129600,131700,139600,139000,139000,149500,148900,153000,151600,157200,156800,162800,163500,307000,196200,183400,186400,180400,185800,193100,187700,193800,199400,197500,204300,206500,245300,218300,215300,244700,219900,231500,225000,238300,242400,244000,249600,248700,263500,256700,578900,396900,261800,265900,271400,283800,281700,279200,292800,353800,294100,296900,366500,298100,455100,314200,311300
2400,4600,8200,9700,18000,16900,29000,27500,24100,46000,29300,32400,35100,49400,67500,56100,48800,62600,52400,68500,58300,62600,108100,67700,71300,73000,80100,79500,83400,94900,88400,96200,94100,113700,105600,106900,119400,137000,231300,115800,121600,210000,176500,130100,130100,139400,138500,140000,173200,150000,152100,151100,176000,157500,162500,171600,239500,173500,175400,176600,180000,184300,187600,242800,192700,196800,197400,217800,204700,214400,221300,221000,223000,226700,224000,352800,231200,241100,235600,241800,258600,271300,253700,389400,260000,262700,306700,268000,279700,275400,280200,279700,324200,289900,296300,295000,298000,310200,425500,308400
