Size 10,Size 20,Size 30,Size 40,Size 50,Size 60,Size 70,Size 80,Size 90,Size 100,Size 110,Size 120,Size 130,Size 140,Size 150,Size 160,Size 170,Size 180,Size 190,Size 200,Size 210,Size 220,Size 230,Size 240,Size 250,Size 260,Size 270,Size 280,Size 290,Size 300,Size 310,Size 320,Size 330,Size 340,Size 350,Size 360,Size 370,Size 380,Size 390,Size 400,Size 410,Size 420,Size 430,Size 440,Size 450,Size 460,Size 470,Size 480,Size 490,Size 500,Size 510,Size 520,Size 530,Size 540,Size 550,Size 560,Size 570,Size 580,Size 590,Size 600,Size 610,Size 620,Size 630,Size 640,Size 650,Size 660,Size 670,Size 680,Size 690,Size 700,Size 710,Size 720,Size 730,Size 740,Size 750,Size 760,Size 770,Size 780,Size 790,Size 800,Size 810,Size 820,Size 830,Size 840,Size 850,Size 860,Size 870,Size 880,Size 890,Size 900,Size 910,Size 920,Size 930,Size 940,Size 950,Size 960,Size 970,Size 980,Size 990,Size 1000
700,1200,2400,3500,4200,4200,6800,5900,8600,9700,11600,10300,12900,15400,12400,15300,20400,22000,22600,17900,20100,25200,24500,23800,23400,25000,31900,32700,27000,37200,36200,32700,41700,33400,36800,48800,45800,40000,43900,67100,61500,62500,55400,67900,64400,47200,51000,51700,55200,68400,59500,63300,84800,63300,62100,100500,78600,64400,81400,83300,85100,69200,95300,88100,94200,94900,94400,99500,90300,96000,83100,100400,94100,109000,113300,106900,94300,114600,103500,100700,101700,100700,104300,159600,104900,125400,133600,137700,146600,127400,114100,145100,147700,153500,140400,166400,147700,155200,146300,140700
500,1100,2100,3600,3800,3800,10100,5800,9500,9000,11500,10900,13200,14300,12500,13000,18100,15200,20300,17400,19300,24500,20700,21900,24100,23800,31100,36900,27700,34800,36100,32000,39000,33400,38400,44800,47100,37300,41900,64300,56700,45600,55400,72600,44800,47500,54300,56200,52400,66200,59500,55500,55600,62100,56600,104800,82000,84500,83400,82100,89700,66300,82000,70300,96200,107100,93000,105400,77100,87800,80100,107000,96500,110500,124200,90000,94200,123300,98300,113800,92800,99100,100800,132000,105100,106900,140100,142800,113400,112000,112800,176500,150500,156100,124700,167500,127000,152900,152300,131800
600,800,2000,3200,3800,4100,6400,5100,8800,8500,11000,10100,13700,14600,12400,13200,17800,16400,20400,18800,18100,24100,21200,20200,23100,23800,32600,39900,26800,35100,35500,29100,39100,33100,34900,45200,47000,37600,41400,52900,54100,55600,61300,68200,49600,52300,54700,50200,81200,66400,57600,53900,57400,62600,59400,80700,83600,76200,82500,83500,89700,74400,70400,71900,92200,100900,93800,93500,83100,84900,80100,120600,97800,118100,93800,88100,92600,114300,100100,101800,97400,108500,104000,120200,98900,106700,135800,115700,110200,113100,122300,138200,161700,147100,318800,135600,128000,142600,137300,132400
600,1000,2300,3100,3500,4300,7000,5800,8400,8300,11500,10700,13300,13300,12000,13300,17500,15500,19800,19100,19000,24400,20800,22300,24400,23500,31000,33100,26600,35300,34900,31000,41000,32100,35200,42400,68900,36900,37700,51700,54100,54900,59100,63100,47500,46600,67700,49700,51900,66700,58200,54900,56800,62000,59100,79600,79500,82500,84200,85200,112600,68700,69200,102000,106500,114900,97300,97300,76100,84000,80900,131300,89800,107800,84700,109900,91700,112400,93400,98100,98300,99600,100500,125400,123000,106000,144700,107700,109700,128200,120200,111900,133300,146200,219200,124500,128300,129300,137200,127300
500,900,1900,3000,3700,3700,6400,5500,8000,9000,11100,10500,13300,13700,12100,13200,16700,15300,20300,17200,18100,24100,20200,19200,23000,23300,33500,32100,27600,33900,35800,30600,39300,33900,34800,44000,63900,46700,41600,52000,56600,49300,50200,70100,55100,48800,62400,49000,53100,63900,63300,54400,59000,58500,60200,79000,81500,74700,80100,84100,90400,73400,69000,71500,88500,115700,95300,98400,80900,87200,83000,132500,92600,106200,89700,99900,105000,118800,100100,95200,103400,101900,97900,137000,139300,105900,133100,111200,111500,112400,125900,119800,116900,147800,243000,117800,122700,124100,130700,132100
500,1000,2300,3000,3400,4600,6300,5800,9100,8900,11000,10600,11800,14300,12200,13400,17200,16600,20200,16300,18100,24900,20200,20900,22200,24500,30000,33000,27300,36900,34800,55800,38600,31500,34600,46500,39500,40900,52700,49300,58600,49700,48900,72400,54300,47400,65400,49200,48700,65500,58000,54000,57800,55700,58500,75200,98100,79500,82100,86300,81400,69200,67200,72700,94700,94900,96900,98700,87500,89200,80900,107900,98500,107400,83400,97000,93000,121200,99000,95900,99000,97900,97800,177100,99500,104600,117900,114800,111200,108100,118000,119900,117500,147000,137600,121500,129900,132600,159900,123600
500,1000,2200,2900,3400,4100,6200,5400,7700,8500,11800,10600,12600,14000,11000,12800,17200,15900,20700,15700,19600,23800,19700,21600,23400,32800,31600,26200,26100,38300,35300,57400,39200,36300,36500,48000,36800,37600,60200,53800,58700,50500,44000,66200,44800,48700,70600,61400,49100,53800,59200,54500,55700,61700,61600,75200,85500,81600,75100,81100,88000,71700,74200,73600,97000,85700,97400,94600,93700,84400,79200,101900,91100,96900,86100,105900,93800,92000,93900,96200,114400,100700,102300,115200,104600,109800,107400,120200,106900,107200,112100,127200,117600,136400,141800,122100,125900,133900,146200,133700
500,1000,2200,2800,3300,3800,5900,5600,8600,19600,11000,9900,13300,13700,11300,13300,17500,14000,19500,17100,18000,25400,19800,20700,22800,25800,31200,25200,25900,56900,45700,38300,38600,32400,35400,44300,36100,37500,39900,53700,56800,46300,93300,71600,54400,44600,49200,67400,48800,55800,60500,56000,60100,58800,75300,76100,79200,78600,64900,80800,85300,66700,69000,71600,88800,94600,102700,95000,81800,84800,76200,98800,98900,82100,87900,95000,92900,93200,100400,94600,108900,102000,101200,102600,103000,103500,106500,106000,110700,111500,119600,124100,138200,130500,145800,121500,136000,128200,130500,129000
600,1100,2000,3000,3500,4200,5900,6000,8200,10200,11500,10300,12800,13500,12200,12800,17800,16000,19300,19800,18500,24100,20500,24400,23700,24100,29400,25800,27100,36100,32800,37400,40400,34100,36100,43300,40200,38900,41000,42000,54400,52800,44600,60600,48500,46600,57100,52700,52800,53000,60700,71000,56400,55000,61600,69600,76700,78000,78500,80100,71300,66500,76700,71000,81300,95700,84900,97000,80600,83500,80000,97300,93200,90800,87700,88600,88500,91200,100300,96200,90100,93200,108400,104600,104600,108800,103300,106400,116800,111100,110900,127700,151700,113100,133500,128300,117700,134900,139700,164600
700,1000,1900,3700,3700,3800,6500,6100,8500,75800,12800,10500,13500,15900,12100,12800,22900,15100,20100,17700,18500,23600,19800,24900,21900,25500,31600,25800,37500,36000,29400,33600,37300,31200,35400,46900,38200,36500,38800,41900,54200,50000,56300,71300,48500,46600,49600,68700,52100,52300,53600,80500,58500,58100,63100,62000,75000,80100,63600,80900,73800,66900,67800,75500,73600,89000,72900,78300,78500,84800,85000,96100,95900,91000,87100,89900,94600,93900,98500,97700,99800,101200,113400,221600,103200,118800,117000,107900,106700,119400,119800,150100,165400,113600,207700,118700,142300,124100,124200,183700
500,1000,2300,2900,3500,4400,7500,5500,8800,9300,12600,10700,13800,13200,12100,13000,18600,16800,21200,17000,18200,22500,20800,22900,20400,22900,31600,25600,28600,33800,28700,32700,38800,33000,33900,43300,37100,36200,38300,42900,60100,46500,49400,56600,45600,48700,56500,64800,51900,53200,51400,62300,56000,58500,60100,60500,83000,78200,67200,82000,69600,67800,69300,71800,72100,95500,83800,80200,79400,78900,79700,85800,82400,88100,84600,97000,93400,93600,106600,93000,99300,95000,105100,254300,101300,114800,108600,176400,114200,112600,114600,145500,151300,116300,138600,127700,130600,138600,126000,184200
400,1000,1900,2600,3200,3600,6500,5800,7600,8300,12300,10000,12000,13600,12900,12700,20800,19100,18600,18100,18400,24600,20800,19300,22800,23700,30700,26500,25500,34300,28200,38900,41300,34000,34500,44600,36500,39300,40100,44700,57700,47600,44100,54300,46100,46800,68300,67100,50400,50500,58300,56500,57200,59200,58300,58600,75100,80600,64600,82800,65600,76100,67900,69600,72600,93100,78100,76700,74500,78000,83500,103100,84500,82000,90600,93900,91900,101100,91100,93500,98100,109600,101700,164200,103100,110500,104100,115400,104100,115400,136200,129000,122600,115100,186000,128200,127400,128000,130700,185300
500,1000,2300,2300,3600,3900,5700,5700,8200,9000,12300,9900,12400,13800,12500,12300,25300,19200,18700,18200,17800,24700,19400,22500,21700,23800,31700,26000,27100,38800,31100,37000,39100,32300,35800,50800,35700,39200,187100,41200,55700,153800,42900,60000,46700,48900,53500,63300,50900,186600,57700,55600,58500,62600,59700,61000,76900,67400,67300,82800,69000,65200,68900,72600,71200,90900,82800,77600,82400,81400,80900,87800,87100,97700,90100,88000,89800,94700,94500,99100,98100,107700,105400,145500,103200,106300,123600,107800,116400,128300,109800,121800,125100,122300,142000,127300,130400,127900,130900,183100
500,1100,2200,2500,3700,3900,7000,5500,9200,8600,10900,9900,12000,13300,12900,13400,17600,18100,20800,17800,19900,40900,18300,20900,24600,23600,29300,25700,27300,182400,28600,32300,39300,30200,37200,35700,34900,39000,53600,42100,58200,63800,43000,57400,47500,47400,53500,61800,48800,104500,58000,58400,56700,62600,61400,62200,75500,62400,101500,83600,70200,92600,75100,72600,73900,74700,77400,75900,79100,79400,184900,86500,85400,86200,83700,88800,90300,98100,93900,109900,98400,92000,100000,141300,100800,104300,103500,111800,107600,114600,114900,125600,115700,120100,121700,120500,116800,117800,128000,188600
600,1000,2100,2400,4000,3900,5900,7800,9100,8300,12400,9400,12500,13200,12600,13200,17600,17900,17700,16200,18700,25600,20700,19400,23700,23700,32300,25200,27700,41300,33000,29500,35900,31400,35700,37900,40200,37100,40000,42000,62200,58800,44500,49800,46500,57200,50700,62600,49700,204300,72400,80300,57500,54900,57700,58500,72200,82900,91600,69100,67200,67200,68600,68400,70500,72000,78700,79400,77700,79800,82500,86300,84200,82800,92700,94100,93900,103100,96200,92500,93600,96400,124500,165500,118300,103300,110000,105000,103800,111500,123000,113600,107700,120800,121800,120200,134500,115400,130700,176800
700,1100,2100,3300,3300,4000,5800,5800,7800,10200,11100,10400,12200,13200,12000,13300,15600,21600,20600,15500,18100,24100,20500,21000,24000,23500,33000,24100,25500,37000,31200,29700,38300,41500,30900,34100,34900,38200,40100,42600,58100,57600,43300,73600,74500,48200,48100,62300,51400,73100,76400,68700,54900,58700,57600,59900,62400,65700,64400,67800,66700,72700,86100,70800,83900,79000,84400,75300,84000,80300,82800,81300,82800,87700,86600,91000,95000,106200,90900,96700,94800,111700,100800,144400,102000,102000,101500,106100,110600,112400,116200,115100,112900,125100,162400,124600,143100,124200,126200,181600
500,1000,2200,3000,3200,3900,6400,5600,8500,9500,10700,10200,12200,15100,12000,13000,14000,18000,20000,16800,18000,26700,19300,23600,20700,24200,33300,25400,25000,35500,29100,29300,37600,32600,34000,35100,36000,38400,41900,48600,56500,42300,44000,66200,45300,46800,53800,64400,52000,69400,75400,54000,67200,57000,58400,63500,61600,64400,83100,65600,69800,69500,71400,73400,70900,75500,80100,78700,83300,79400,100200,83600,85600,84800,86400,93900,94200,99800,93200,96000,122300,98300,99400,145400,106300,102900,105900,107500,104900,108600,117000,120900,116300,112200,159100,123200,116200,125800,127900,184200
400,1100,2100,2700,3800,3700,6400,5600,8600,7400,12200,10600,12400,17000,11300,12700,15000,17200,18700,16800,18000,25000,20700,21900,22700,23300,30300,27100,26900,32900,28600,29900,37400,30900,33700,36600,35000,37600,48000,41600,56800,43900,41500,46500,45800,47200,49700,63100,55700,51500,55800,59800,57200,54100,56800,57500,61300,58700,117500,64600,71900,66600,67600,72300,73400,74100,81900,79900,82200,76800,82300,83700,84000,84300,84100,90600,96600,90500,93200,90400,101100,99700,98000,151700,98300,104500,103300,114000,115200,119400,119700,116000,131600,117800,171900,129200,137500,122900,125200,187900
500,900,2200,3000,3600,3700,5900,6100,8000,7300,12900,10600,14300,12800,12000,12800,14800,18700,20900,15900,19400,24400,19300,20400,21600,23900,31100,24700,27000,28200,27800,30000,40900,32800,32100,37300,40200,35900,45800,45400,57100,46000,43500,44200,46100,53000,47900,66600,50400,53300,53400,60700,54600,58800,58800,61100,74600,61200,63000,72000,67300,69200,67200,73300,76000,73200,95000,76600,80500,72000,78300,84400,86700,81000,85200,86400,96000,90400,90300,103000,109200,98800,100600,139400,100700,111900,110300,103100,102100,106800,114700,113300,117400,114500,180900,127100,145000,150100,145000,175500
